PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Leskovec, J; Adamic, LA; Huberman, BA",,,,"Leskovec, Jure; Adamic, Lada A.; Huberman, Bernardo A.",,,The Dynamics of Viral Marketing,ACM TRANSACTIONS ON THE WEB,,,,,,,,,,,,"We present an analysis of a person-to-person recommendation network, consisting of 4 million people who made 16 million recommendations on half a million products. We observe the propagation of recommendations and the cascade sizes, which we explain by a simple stochastic model. We analyze how user behavior varies within user communities defined by a recommendation network. Product purchases follow a 'long tail' where a significant share of purchases belongs to rarely sold items. We establish how the recommendation network grows over time and how effective it is from the viewpoint of the sender and receiver of the recommendations. While on average recommendations are not very effective at inducing purchases and do not spread very far, we present a model that successfully identifies communities, product, and pricing categories for which viral marketing seems to be very effective.",,,,,"Faloutsos, Christos/0000-0003-2996-9790; Leskovec, Jure/0000-0002-5411-923X",,,,,,,,,,,,1559-1131,1559-114X,,,,MAY,2007,1,1,,,,,,,5,10.1145/1232722.1232727,,,,,,,WOS:000207028200005,,,,,
J,"Chiu, CM; Hsu, MH; Wang, ETG",,,,"Chiu, Chao-Min; Hsu, Meng-Hsiang; Wang, Eric T. G.",,,Understanding knowledge sharing in virtual communities: An integration of social capital and social cognitive theories,DECISION SUPPORT SYSTEMS,,,,,,,,,,,,"The biggest challenge in fostering a virtual community is the supply of knowledge, namely the willingness to share knowledge with other members. This paper integrates the Social Cognitive Theory and the Social Capital Theory to construct a model for investigating the motivations behind people's knowledge sharing in virtual communities. The study holds that the facets of social capital - social interaction ties, trust, norm of reciprocity, identification, shared vision and shared language - will influence individuals' knowledge sharing in virtual communities. We also argue that outcome expectations - community-related outcome expectations and personal outcome expectations - can engender knowledge sharing in virtual communities. Data collected from 310 members of one professional virtual community provide support for the proposed model. The results help in identifying the motivation underlying individuals' knowledge sharing behavior in professional virtual communities. The implications for theory and practice and future research directions are discussed. (c) 2006 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,0167-9236,,,,,DEC,2006,42,3,,,,,1872,1888,,10.1016/j.dss.2006.04.001,,,,,,,WOS:000242306600042,,,,,
J,"Sambamurthy, V; Bharadwaj, A; Grover, V",,,,"Sambamurthy, V; Bharadwaj, A; Grover, V",,,Shaping agility through digital options: Reconceptualizing the role of information technology in contemporary firms,MIS QUARTERLY,,,,,,,,,,,,"Agility is vital to the innovation and competitive performance of firms in contemporary business environments. Firms are increasingly relying on information technologies, including process, knowledge, and communication technologies, to enhance their agility. The purpose of this paper is to broaden understanding about the strategic role of IT by examining the nomological network of influences through which IT impacts firm perfor By drawing upon recent thinking in the mance, strategy, - entrepreneurship, and IT management literatures, this paper uses a multitheoretic lens to argue that information technology. investments and. capabilities influence firm performance through three significant organizational capabilities (agility, digital options, and entrepreneurial alertness) and strategic processes (capability-, building, entrepreneurial action, and,coevolutionary adaptation). We also propose that these, dynamic capabilities and strategic processes impact the ability of firms. to launch many and varied competitive actions and that, in. turn, these competitive actions are a significant antecedent of firm Performance. Through our theorizing, we draw attention to a significant and reframed role of IT as a digital options generator in contemporary firms.",,,,,"Grover, Varun/0000-0001-5367-2423",,,,,,,,,,,,0276-7783,,,,,JUN,2003,27,2,,,,,237,263,,,,,,,,,WOS:000183386200004,,,,,
J,"Chen, CM",,,,"Chen, CM",,,CiteSpace II: Detecting and visualizing emerging trends and transient patterns in scientific literature,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,,,,,,,,,,,,"This article describes the latest development of a generic approach to detecting and visualizing emerging trends and transient patterns in scientific literature. The work makes substantial theoretical and methodological contributions to progressive knowledge domain visualization. A specialty is conceptualized and visualized as a time-variant duality between two fundamental concepts in information science: research fronts and intellectual bases. A research front is defined as an emergent and transient grouping of concepts and underlying research issues. The intellectual base of a research front is its citation and co-citation footprint in scientific literature an evolving network of scientific publications cited by research-front concepts. Kleinberg's (2002) burst detection algorithm is adapted to identify emergent research-front concepts. Freeman's (1979) betweenness centrality metric is used to highlight potential pivotal points of paradigm shift over time. Two complementary visualization views are designed and implemented: cluster views and time-zone views. The contributions of the approach are that (a) the nature of an intellectual base is algorithmically and temporally identified by emergent research-front terms, (b) the value of a co-citation cluster is explicitly interpreted in terms of research-front concepts, and (c) visually prominent and algorithmically detected pivotal points substantially reduce the complexity of a visualized network. The modeling and visualization process is implemented in CiteSpace II, a Java application, and applied to the analysis of two research fields: mass extinction (1981-2004) and terrorism (1990-2003). Prominent trends and pivotal points in visualized networks were verified in collaboration with domain experts, who are the authors of pivotal-point articles. Practical implications of the work are discussed. A number of challenges and opportunities for future studies are identified.",,,,"Chen, Chaomei/A-1252-2007","Chen, Chaomei/0000-0001-8584-1041",,,,,,,,,,,,1532-2882,1532-2890,,,,Feb 1,2006,57,3,,,,,359,377,,10.1002/asi.20317,,,,,,,WOS:000234932600008,,,,,
J,"Duan, WJ; Gu, G; Whinston, AB",,,,"Duan, Wenjing; Gu, Bin; Whinston, Andrew B.",,,Do online reviews matter? - An empirical investigation of panel data,DECISION SUPPORT SYSTEMS,,,,,,,,,,,,"This study examines the persuasive effect and awareness effect of online user reviews on movies' daily box office performance. In contrast to earlier studies that take online user reviews as an exogenous factor, we consider reviews both influencing and influenced by movie sales. The consideration of the endogenous nature of online user reviews significantly changes the analysis. Our result shows that the rating of online user reviews has no significant impact on movies' box office revenues after accounting for the endogeneity, indicating that online user reviews have little persuasive effect on consumer purchase decisions. Nevertheless, we find that box office sales are significantly influenced by the volume of online posting, suggesting the importance of awareness effect. The finding of awareness effect for online user reviews is Surprising as online reviews under the analysis are posted to the same website and are not expected to increase product awareness. We attribute the effect to online user reviews as an indicator of the intensity of underlying word-of-mouth that plays a dominant role in driving box office revenues. (C) 2008 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,0167-9236,1873-5797,,,,NOV,2008,45,4,,,SI,,1007,1016,,10.1016/j.dss.2008.04.001,,,,,,,WOS:000260713900027,,,,,
B,"Tang, J; Qu, M; Wang, MZ; Zhang, M; Yan, J; Mei, QZ",,,ACM,"Tang, Jian; Qu, Meng; Wang, Mingzhe; Zhang, Ming; Yan, Jun; Mei, Qiaozhu",,,LINE: Large-scale Information Network Embedding,PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON WORLD WIDE WEB (WWW 2015),,,,,24th International Conference on World Wide Web (WWW),"MAY 18-22, 2015","Florence, ITALY","Assoc Comp Machinery, Int World Wide Web Conf Steering Comm, ACM SIGWEB",,,,"This paper studies the problem of embedding very large information networks into low-dimensional vector spaces, which is useful in many tasks such as visualization, node classification, and link prediction. Most existing graph embedding methods do not scale for real world information networks which usually contain millions of nodes. In this paper, we propose a novel network embedding method called the ""LINE,"" which is suitable for arbitrary types of information networks: undirected, directed, and/or weighted. The method optimizes a carefully designed objective function that preserves both the local and global network structures. An edge-sampling algorithm is proposed that addresses the limitation of the classical stochastic gradient descent and improves both the effectiveness and the efficiency of the inference. Empirical experiments prove the effectiveness of the LINE on a variety of real-world information networks, including language networks, social networks, and citation networks. The algorithm is very efficient, which is able to learn the embedding of a network with millions of vertices and billions of edges in a few hours on a typical single machine. The source code of the LINE is available online.(1)",,,,,,,,,,,,,,,,,,,978-1-4503-3469-3,,,,2015,,,,,,,1067,1077,,10.1145/2736277.2741093,,,,,,,WOS:000467281500099,,,,,
B,"Gilbert, E; Karahalios, K",,"Greenberg, S; Hudson, SE; Hinkley, K; RingelMorris, M; Olsen, DR",,"Gilbert, Eric; Karahalios, Karrie",,,Predicting Tie Strength With Social Media,"CHI2009: PROCEEDINGS OF THE 27TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1-4",,,,,27th Annual CHI Conference on Human Factors in Computing Systems,"APR 04-09, 2009","Boston, MA","ACM SIGCHI, Autodesk, Google, Microsoft, NSF, eLearn Magazine, interations, Yahoo",,,,"Social media treats all users the same: trusted friend or-total stranger, with little or nothing in between. In reality, relationships fall everywhere along this spectrum, a topic social science has investigated for decades under the theme of tie strength. Our work bridges this gap between theory and practice. In this paper, we present a predictive model that maps social media data to tie strength. The model builds on a dataset of over 2,000 social media ties and performs quite well, distinguishing between strong and weak ties with over 85% accuracy. We complement these quantitative findings with interviews that unpack the relationships we could not predict. The paper concludes by illustrating how modeling tie strength can improve social media design elements, including privacy controls, message routing, friend introductions and information prioritization.",,,,,,,,,,,,,,,,,,,978-1-60558-246-7,,,,2009,,,,,,,211,220,,,,,,,,,WOS:000265679300027,,,,,
B,"Leskovec, J; Huttenlocher, D; Kleinberg, J",,,ACM,"Leskovec, Jure; Huttenlocher, Daniel; Kleinberg, Jon",,,Signed Networks in Social Media,"CHI2010: PROCEEDINGS OF THE 28TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1-4",,,,,28th Annual CHI Conference on Human Factors in Computing Systems,"APR 10-15, 2010","Atlanta, GA","Google, Microsoft, NSF, Yahoo Labs, ACM SIGCHI",,,,"Relations between users on social media sites often reflect a mixture of positive (friendly) and negative (antagonistic) interactions. In contrast to the bulk of research on social networks that has focused almost exclusively on positive interpretations of links between people, we study how the interplay between positive and negative relationships affects the structure of on-line social networks. We connect our analyses to theories of signed networks from social psychology. We find that the classical theory of structural balance tends to capture certain common patterns of interaction, but that it is also at odds with some of the fundamental phenomena we observe particularly related to the evolving, directed nature of these on-line networks. We then develop an alternate theory of status that better explains the observed edge signs and provides insights into the underlying social mechanisms. Our work provides one of the first large-scale evaluations of theories of signed networks using on-line datasets, as well as providing a perspective for reasoning about social media sites.",,,,,,,,,,,,,,,,,,,978-1-60558-929-9,,,,2010,,,,,,,1361,+,,,,,,,,,WOS:000281276700157,,,,,
J,"Yang, J; Leskovec, J",,,,"Yang, Jaewon; Leskovec, Jure",,,Defining and evaluating network communities based on ground-truth,KNOWLEDGE AND INFORMATION SYSTEMS,,,,,,,,,,,,"Nodes in real-world networks organize into densely linked communities where edges appear with high concentration among the members of the community. Identifying such communities of nodes has proven to be a challenging task due to a plethora of definitions of network communities, intractability of methods for detecting them, and the issues with evaluation which stem from the lack of a reliable gold-standard ground-truth. In this paper, we distinguish between structural and functional definitions of network communities. Structural definitions of communities are based on connectivity patterns, like the density of connections between the community members, while functional definitions are based on (often unobserved) common function or role of the community members in the network. We argue that the goal of network community detection is to extract functional communities based on the connectivity structure of the nodes in the network. We then identify networks with explicitly labeled functional communities to which we refer as ground-truth communities. In particular, we study a set of 230 large real-world social, collaboration, and information networks where nodes explicitly state their community memberships. For example, in social networks, nodes explicitly join various interest-based social groups. We use such social groups to define a reliable and robust notion of ground-truth communities. We then propose a methodology, which allows us to compare and quantitatively evaluate how different structural definitions of communities correspond to ground-truth functional communities. We study 13 commonly used structural definitions of communities and examine their sensitivity, robustness and performance in identifying the ground-truth. We show that the 13 structural definitions are heavily correlated and naturally group into four classes. We find that two of these definitions, Conductance and Triad participation ratio, consistently give the best performance in identifying ground-truth communities. We also investigate a task of detecting communities given a single seed node. We extend the local spectral clustering algorithm into a heuristic parameter-free community detection method that easily scales to networks with more than 100 million nodes. The proposed method achieves 30 % relative improvement over current local clustering methods.",,,,,"Leskovec, Jure/0000-0002-5411-923X",,,,,,,,,,,,0219-1377,0219-3116,,,,JAN,2015,42,1,,,,,181,213,,10.1007/s10115-013-0693-z,,,,,,,WOS:000347286900008,,,,,
J,"Daly, EM; Haahr, M",,,,"Daly, Elizabeth M.; Haahr, Mads",,,Social Network Analysis for Information Flow in Disconnected Delay-Tolerant MANETs,IEEE TRANSACTIONS ON MOBILE COMPUTING,,,,,,,,,,,,"Message delivery in sparse mobile ad hoc networks (MANETs) is difficult due to the fact that the network graph is rarely (if ever) connected. A key challenge is to find a route that can provide good delivery performance and low end-to-end delay in a disconnected network graph where nodes may move freely. We cast this challenge as an information flow problem in a social network. This paper presents social network analysis metrics that may be used to support a novel and practical forwarding solution to provide efficient message delivery in disconnected delay-tolerant MANETs. These metrics are based on social analysis of a node's past interactions and consists of three locally evaluated components: a node's ""betweenness"" centrality ( calculated using ego networks), a node's social ""similarity"" to the destination node, and a node's tie strength relationship with the destination node. We present simulations using three real trace data sets to demonstrate that by combining these metrics delivery performance may be achieved close to Epidemic Routing but with significantly reduced overhead. Additionally, we show improved performance when compared to PRoPHET Routing.",,,,"WANG, HUAN/A-1155-2009","Haahr, Mads/0000-0002-9273-6458",,,,,,,,,,,,1536-1233,1558-0660,,,,MAY,2009,8,5,,,,,606,621,,10.1109/TMC.2008.161,,,,,,,WOS:000264206800003,,,,,
