PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Woolcock, M; Narayan, D",,,,"Woolcock, M; Narayan, D",,,"Social capital: Implications for development theory, research, and policy",WORLD BANK RESEARCH OBSERVER,,,,,,,,,,,,"In the 1990s the concept of social capital-defined here as the norms and networks that enable people to act collectively-enjoyed a remarkable rise to prominence across all the social science disciplines. The authors trace the evolution of social capital research as it pertains to economic development and identify four distinct approaches the research has taken: communitarian, networks, institutional and synergy. The evidence suggests that of the four, the synergy view, with its emphasis on incorporating different levels and dimensions of social capital and its recognition of the positive and negative outcomes that social capital can generate, has the greatest empirical support and lends itself best to comprehensive and coherent policy prescriptions. The authors argue that a significant virtue of the idea of and discourse on social capital is that it helps to bridge orthodox divides among scholars, practitioners, and policymakers.",,,,,,,,,,,,,,,,,0257-3032,,,,,AUG,2000,15,2,,,,,225,249,,10.1093/wbro/15.2.225,,,,,,,WOS:000165829000005,,,,,
B,"Jackson, MO",,,,"Jackson, MO",,,Social and Economic Networks,SOCIAL AND ECONOMIC NETWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-691-13440-6,,,,2008,,,,,,,1,504,,,,,,,,,WOS:000288018200016,,,,,
J,"Unruh, GC",,,,"Unruh, GC",,,Understanding carbon lock-in,ENERGY POLICY,,,,,,,,,,,,"This paper narrative argues that industrial economies have been locked into fossil fuel-based energy systems through a process of technological and institutional co-evolution driven by path-dependent increasing returns to scale. It is asserted that this condition, termed carbon lock-in, creates persistent market and policy failures that can inhibit the diffusion of carbon-saving technologies despite their apparent environmental and economic advantages. The notion of a Techno-Institutional Complex is introduced to capture the idea that lock-in occurs through combined interactions among technological systems and governing institutions. While carbon lock-in provides a conceptual basis for understanding macro-level barriers to the diffusion of carbon-saving technologies, it also generates questions for standard economic modeling approaches that abstract away technological and institutional evolution in their elaboration. The question of escaping carbon lock-in is left for a future paper. (C) 2000 Elsevier Science Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0301-4215,,,,,OCT,2000,28,12,,,,,817,830,,10.1016/S0301-4215(00)00070-7,,,,,,,WOS:000088686700001,,,,,
J,"Martin, R; Sunley, P",,,,"Martin, Ron; Sunley, Peter",,,Path dependence and regional economic evolution,JOURNAL OF ECONOMIC GEOGRAPHY,,,,,,,,,,,,"In recent years, economic geographers have seized on the concepts of 'path dependence' and 'lock-in' as key ingredients in constructing an evolutionary approach to their subject. However, they have tended to invoke these notions without proper examination of the ongoing discussion and debate devoted to them within evolutionary economics and elsewhere. Our aim in this paper, therefore, is, first, to highlight some of the unresolved issues that surround these concepts, and, second, to explore their usefulness for understanding the evolution of the economic landscape and the process of regional development. We argue that in many important aspects, path dependence and 'lock-in' are place-dependent processes, and as such require geographical explanation. However, the precise meaning of regional 'lock-in', we contend, is unclear, and little is known about why it is that some regional economies become locked into development paths that lose dynamism, whilst other regional economies seem able to avoid this danger and in effect are able to 'reinvent' themselves through successive new paths or phases of development. The issue of regional path creation is thus equally important, but has been rarely discussed. We conclude that whilst path dependence is an important feature of the economic landscape, the concept requires further elaboration if it is to function as a core notion in an evolutionary economic geography.",,,,,,,,,,,,,,,,,1468-2702,1468-2710,,,,AUG,2006,6,4,,,,,395,437,,10.1093/jeg/lbl012,,,,,,,WOS:000239839400001,,,,,
J,"Torre, A; Rallett, A",,,,"Torre, A; Rallett, A",,,Proximity and localization,REGIONAL STUDIES,,,,,,,,,,,,"The objective of this paper is to pave the way for an analysis of the relations between proximity and localization of activities and people, two notions that are often mistaken for one another. Our method consists in exploiting the semantic wealth of the notion of proximity. We distinguish two types of proximity (geographical and organized) and propose a grid of analysis of the main models of geographic organization of activities by articulating both types of proximity. We then introduce the phenomenon of tension between geographical and organized proximity in order to discuss problems that are often underestimated in spatial economy. First, organized proximity offers powerful mechanisms of long-distance coordination that constitute the foundation of the increasing geographical development of socio-economic interactions. The confusion between information interactions and knowledge exchange, and the constraint of being located in proximity neglects the fact that the collective rules and representations do manage, and at a distance, an increasing part of these interactions. It is then shown that there is a disjunction between the need for geographical proximity and co-localization of actors by introducing professional mobility and temporary geographical proximity. We also emphasize the ability of big organizations to manage the presence in different areas of their units, whereas smaller ones are more constrained by fixed co-localizations, which are only needed for certain phases of their interactions. Finally, we raise the often neglected question of the negative effects of geographical proximity which creates tensions between the actors who use limited support-goods and tends to damage the local relational network. However, these negative effects can be limited by integrating them within organizations or institutions, that is through a re-composed organized proximity enabling one to solve conflicts and launch processes of cooperation or negotiation within ad-hoc mechanisms.",,,,"Torre, Andre/U-1081-2018","Torre, Andre/0000-0001-5644-7520",,,,,,,,,,,,0034-3404,1360-0591,,,,FEB,2005,39,1,,,,,47,59,,10.1080/0034340052000320842,,,,,,,WOS:000226292500004,,,,,
J,"Cowan, R; Jonard, N",,,,"Cowan, R; Jonard, N",,,Network structure and the diffusion of knowledge,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,,,,,,,,,,,,"This paper models knowledge diffusion as a barter process in which agents exchange different types of knowledge. This is intended to capture the observed practice of informal knowledge trading. Agents are located on a network and are directly connected with a small number of other agents. Agents repeatedly meet those with whom direct connections exist and trade if mutually profitable trades exist. In this way knowledge diffuses throughout the economy. We examine the relationship between network architecture and diffusion performance. We consider the space of structures that fall between, at one extreme, a network in which every agent is connected to n nearest neighbours, and at the other extreme a network with each agent being connected to, on average, n randomly chosen agents. We find that the performance of the system exhibits clear 'small world' properties, in that the steady-state level of average knowledge is maximal when the structure is a small world (that is, when most connections are local, but roughly 10 percent of them are long distance). The variance of knowledge levels among agents is maximal in the small world region, whereas the coefficient of variation is minimal. We explain these results as reflecting the dynamics of knowledge transmission as affected by the architecture of connections among agents. (C) 2003 Elsevier B.V. All rights reserved.",,,,"Wang, Charles/B-5565-2011","Wang, Charles/0000-0001-9331-8437",,,,,,,,,,,,0165-1889,,,,,JUN,2004,28,8,,,,,1557,1575,,10.1016/j.jedc.2003.04.002,,,,,,,WOS:000220265000005,,,,,
J,"Rauch, JE",,,,"Rauch, JE",,,Business and social networks in international trade,JOURNAL OF ECONOMIC LITERATURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0022-0515,,,,,DEC,2001,39,4,,,,,1177,1203,,10.1257/jel.39.4.1177,,,,,,,WOS:000172746600004,,,,,
J,"Caliskan, K; Callon, M",,,,"Caliskan, Koray; Callon, Michel",,,"Economization, part 2: a research programme for the study of markets",ECONOMY AND SOCIETY,,,,,,,,,,,,"Presented in two parts, this article proposes a research programme devoted to examining 'processes of economization'. In the first instalment, published in Economy and Society 38(3) (2009), we introduced the notion of 'economization'. The term refers to the assembly and qualification of actions, devices and analytical/practical descriptions as 'economic' by social scientists and market actors. Through an analysis of selected works in anthropology, economics and sociology, we discussed the importance, meaning and framing of economization, unravelling its trace within a variety of disciplinary backgrounds. This second instalment of the article explores what it would mean to move this research programme forward by taking processes of economization as a topic of empirical investigation. Given the vast terrain of relationships that produce its numerous trajectories, to illustrate what such a project would entail we have limited ourselves to the examination of processes we call 'marketization'. These processes, which constitute but one modality of economization, are discussed here from five vantage points: the things in the market, agencies, encounters, prices and market maintenance.",,,,,,,,,,,,,,,,,0308-5147,1469-5766,,,,FEB,2010,39,1,,,,,1,32,,10.1080/03085140903424519,,,,,,,WOS:000275815500001,,,,,
J,"Elfring, T; Hulsink, W",,,,"Elfring, T; Hulsink, W",,,Networks in entrepreneurship: The case of high-technology firms,SMALL BUSINESS ECONOMICS,,,,,,,,,,,,"The value of networks as an integral part of the explanation of entrepreneurial success is widely acknowledged. However, the network perspective does not specify the role of networks in the emergence and early growth of a venture. We have distinguished three entrepreneurial processes in new venture development, i.e. discovery of opportunities, securing resources, and obtaining legitimacy, which are of importance for survival and performance. This paper examines how these processes are influenced by strong and/or weak ties and whether the degree of innovation (incremental versus radical) acts as a contingency factor in the way network ties support entrepreneurial processes. In this explorative study three cases on high technology firms in The Netherlands provide empirical material enabling us to develop a number of propositions on the network effect, in particular the mix of strong and weak ties, on the three entrepreneurial processes.",,,,,,,,,,,,,,,,,0921-898X,,,,,DEC,2003,21,4,,,,,409,422,,10.1023/A:1026180418357,,,,,,,WOS:000185859100008,,,,,
J,"Morris, S",,,,"Morris, S",,,Contagion,REVIEW OF ECONOMIC STUDIES,,,,,,,,,,,,"Each player in an infinite population interacts strategically with a finite subset of that population. Suppose each player's binary choice in each period is a best response to the population choices of the previous period. When can behaviour that is initially played by only a finite set of players spread to the whole population? This paper characterizes when such contagion is possible for arbitrary local interaction systems. Maximal contagion occurs when local interaction is sufficiently uniform and there is low neighbour growth, i.e. the number of players who can be reached in k steps does not grow exponentially in k.",,,,,,,,,,,,,,,,,0034-6527,,,,,JAN,2000,67,1,,,,,57,78,,10.1111/1467-937X.00121,,,,,,,WOS:000085640300004,,,,,
J,"Menzel, MP; Fornahl, D",,,,"Menzel, Max-Peter; Fornahl, Dirk",,,Cluster life cycles-dimensions and rationales of cluster evolution,INDUSTRIAL AND CORPORATE CHANGE,,,,,,,,,,,,"We present a model that explains how the very cluster dynamics is both the driver for the movement of a cluster through a life cycle and the reason why this movement differs from the industry life cycle. The model is based on two key processes: the first is that the emergence, growth, decline and renewal of the cluster depend on the technological heterogeneity of firms; the second is that firms have a larger relative absorptive capacity, when they are in the same location, and thus especially localized learning changes heterogeneity: it leads to a technological convergence when learning takes place within the cluster and technological divergence, when learning takes place outside the cluster, yet in the same region. We derive hypothesis from the model regarding different phases of the cluster life cycle.",,,,,"Fornahl, Dirk/0000-0001-7585-4367; Menzel, Max-Peter/0000-0003-0298-1159",,,,,,,,,,,,0960-6491,,,,,FEB,2010,19,1,,,,,205,238,,10.1093/icc/dtp036,,,,,,,WOS:000274088700007,,,,,
J,"Agrawal, A; Cockburn, I; McHale, J",,,,"Agrawal, Ajay; Cockburn, Iain; McHale, John",,,"Gone but not forgotten: knowledge flows, labor mobility, and enduring social relationships",JOURNAL OF ECONOMIC GEOGRAPHY,,,,,,,,,,,,"We examine the role of social relationships in facilitating knowledge flows by estimating the flow premium captured by a mobile inventor's previous location. Once an inventor has moved, they are gone-but are they forgotten? We find that knowledge flows to an inventor's prior location are approximately 50% greater than if they had never lived there, suggesting that social relationships, not just physical proximity, are important for determining flow patterns. Furthermore, we find that a large portion of this social effect is mediated by institutional links; however, this is not the result of corporate knowledge management systems but rather of personal relationships formed through co-location within an institutional context that endure over time, space, and organizational boundaries. Moreover, we find the effect is nearly twice as large for knowledge flows across as compared to within fields, suggesting that co-location may substitute for communities of practice in determining flow patterns.",,,,"Cockburn, Iain/G-9524-2013; Wang, Charles/B-5565-2011","Cockburn, Iain/0000-0003-2034-0187; Wang, Charles/0000-0001-9331-8437",,,,,,,,,,,,1468-2702,1468-2710,,,,NOV,2006,6,5,,,,,571,591,,10.1093/jeg/lbl016,,,,,,,WOS:000244389500002,,,,,
