PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Ellison, NB; Steinfield, C; Lampe, C",,,,"Ellison, Nicole B.; Steinfield, Charles; Lampe, Cliff",,,"The Benefits of Facebook ""Friends:"" Social Capital and College Students' Use of Online Social Network Sites",JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,,,,,,,,,,,,"This study examines the relationship between use of Facebook, a popular online social network site, and the formation and maintenance of social capital. In addition to assessing bonding and bridging social capital, we explore a dimension of social capital that assesses one's ability to stay connected with members of a previously inhabited community, which we call maintained social capital. Regression analyses conducted on results from a survey of undergraduate students (N = 286) suggest a strong association between use of Facebook and the three types of social capital, with the strongest relationship being to bridging social capital. In addition, Facebook usage was found to interact with measures of psychological well-being, suggesting that it might provide greater benefits for users experiencing low self-esteem and low life satisfaction.",,,,,"Ellison, Nicole/0000-0003-2793-4842; Steinfield, Charles/0000-0002-2579-755X",,,,,,,,,,,,1083-6101,,,,,JUL,2007,12,4,,,,,1143,1168,,10.1111/j.1083-6101.2007.00367.x,,,,,,,WOS:000444387200001,,,,,
J,"Sambamurthy, V; Bharadwaj, A; Grover, V",,,,"Sambamurthy, V; Bharadwaj, A; Grover, V",,,Shaping agility through digital options: Reconceptualizing the role of information technology in contemporary firms,MIS QUARTERLY,,,,,,,,,,,,"Agility is vital to the innovation and competitive performance of firms in contemporary business environments. Firms are increasingly relying on information technologies, including process, knowledge, and communication technologies, to enhance their agility. The purpose of this paper is to broaden understanding about the strategic role of IT by examining the nomological network of influences through which IT impacts firm perfor By drawing upon recent thinking in the mance, strategy, - entrepreneurship, and IT management literatures, this paper uses a multitheoretic lens to argue that information technology. investments and. capabilities influence firm performance through three significant organizational capabilities (agility, digital options, and entrepreneurial alertness) and strategic processes (capability-, building, entrepreneurial action, and,coevolutionary adaptation). We also propose that these, dynamic capabilities and strategic processes impact the ability of firms. to launch many and varied competitive actions and that, in. turn, these competitive actions are a significant antecedent of firm Performance. Through our theorizing, we draw attention to a significant and reframed role of IT as a digital options generator in contemporary firms.",,,,,"Grover, Varun/0000-0001-5367-2423",,,,,,,,,,,,0276-7783,,,,,JUN,2003,27,2,,,,,237,263,,,,,,,,,WOS:000183386200004,,,,,
J,"Chen, CM",,,,"Chen, CM",,,CiteSpace II: Detecting and visualizing emerging trends and transient patterns in scientific literature,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,,,,,,,,,,,,"This article describes the latest development of a generic approach to detecting and visualizing emerging trends and transient patterns in scientific literature. The work makes substantial theoretical and methodological contributions to progressive knowledge domain visualization. A specialty is conceptualized and visualized as a time-variant duality between two fundamental concepts in information science: research fronts and intellectual bases. A research front is defined as an emergent and transient grouping of concepts and underlying research issues. The intellectual base of a research front is its citation and co-citation footprint in scientific literature an evolving network of scientific publications cited by research-front concepts. Kleinberg's (2002) burst detection algorithm is adapted to identify emergent research-front concepts. Freeman's (1979) betweenness centrality metric is used to highlight potential pivotal points of paradigm shift over time. Two complementary visualization views are designed and implemented: cluster views and time-zone views. The contributions of the approach are that (a) the nature of an intellectual base is algorithmically and temporally identified by emergent research-front terms, (b) the value of a co-citation cluster is explicitly interpreted in terms of research-front concepts, and (c) visually prominent and algorithmically detected pivotal points substantially reduce the complexity of a visualized network. The modeling and visualization process is implemented in CiteSpace II, a Java application, and applied to the analysis of two research fields: mass extinction (1981-2004) and terrorism (1990-2003). Prominent trends and pivotal points in visualized networks were verified in collaboration with domain experts, who are the authors of pivotal-point articles. Practical implications of the work are discussed. A number of challenges and opportunities for future studies are identified.",,,,"Chen, Chaomei/A-1252-2007","Chen, Chaomei/0000-0001-8584-1041",,,,,,,,,,,,1532-2882,1532-2890,,,,Feb 1,2006,57,3,,,,,359,377,,10.1002/asi.20317,,,,,,,WOS:000234932600008,,,,,
B,"Gilbert, E; Karahalios, K",,"Greenberg, S; Hudson, SE; Hinkley, K; RingelMorris, M; Olsen, DR",,"Gilbert, Eric; Karahalios, Karrie",,,Predicting Tie Strength With Social Media,"CHI2009: PROCEEDINGS OF THE 27TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1-4",,,,,27th Annual CHI Conference on Human Factors in Computing Systems,"APR 04-09, 2009","Boston, MA","ACM SIGCHI, Autodesk, Google, Microsoft, NSF, eLearn Magazine, interations, Yahoo",,,,"Social media treats all users the same: trusted friend or-total stranger, with little or nothing in between. In reality, relationships fall everywhere along this spectrum, a topic social science has investigated for decades under the theme of tie strength. Our work bridges this gap between theory and practice. In this paper, we present a predictive model that maps social media data to tie strength. The model builds on a dataset of over 2,000 social media ties and performs quite well, distinguishing between strong and weak ties with over 85% accuracy. We complement these quantitative findings with interviews that unpack the relationships we could not predict. The paper concludes by illustrating how modeling tie strength can improve social media design elements, including privacy controls, message routing, friend introductions and information prioritization.",,,,,,,,,,,,,,,,,,,978-1-60558-246-7,,,,2009,,,,,,,211,220,,,,,,,,,WOS:000265679300027,,,,,
J,"Boulos, MNK; Wheeler, S",,,,"Boulos, Maged N. Kamel; Wheeler, Steve",,,The emerging Web 2.0 social software: an enabling suite of sociable technologies in health and health care education,HEALTH INFORMATION AND LIBRARIES JOURNAL,,,,,,,,,,,,"Web 2.0 sociable technologies and social software are presented as enablers in health and health care, for organizations, clinicians, patients and laypersons. They include social networking services, collaborative filtering, social bookmarking, folksonomies, social search engines, file sharing and tagging, mashups, instant messaging, and online multi-player games. The more popular Web 2.0 applications in education, namely wikis, blogs and podcasts, are but the tip of the social software iceberg. Web 2.0 technologies represent a quite revolutionary way of managing and repurposing/remixing online information and knowledge repositories, including clinical and research information, in comparison with the traditional Web 1.0 model. The paper also offers a glimpse of future software, touching on Web 3.0 (the Semantic Web) and how it could be combined with Web 2.0 to produce the ultimate architecture of participation. Although the tools presented in this review look very promising and potentially fit for purpose in many health care applications and scenarios, careful thinking, testing and evaluation research are still needed in order to establish 'best practice models' for leveraging these emerging technologies to boost our teaching and learning productivity, foster stronger 'communities of practice', and support continuing medical education/professional development (CME/CPD) and patient education.",,,,"Boulos, Maged N. Kamel/B-3728-2013","Boulos, Maged N. Kamel/0000-0003-2400-6303",,,,,,,,,,,,1471-1834,1471-1842,,,,MAR,2007,24,1,,,,,2,23,,10.1111/j.1471-1842.2007.00701.x,,,,,,,WOS:000244613900002,17331140,,,,
J,"Haythornthwaite, C",,,,"Haythornthwaite, C",,,"Strong, weak, and latent ties and the impact of new media",INFORMATION SOCIETY,,,,,34th Hawaii International Conference of System Sciences,"Jan, 2001",HAWAII,,,,,"This article argues that consideration of the strength of ties between communicators can help reconcile disparate results on the impact of new media on social relations. It is argued from the research literature and studies by the author that where ties are strong, communicators can influence each other to adapt and expand their use of media to support the exchanges important to their tie, but where ties are weak, communicators are dependent on common, organizationally established means of communication and protocols established by others. Due to this differential use of media, a new medium that adds means and opportunities for previously unconnected others to communicate will have positive effects on weak ties and weak-tie networks, in particular by laying an infrastructure of latent ties (ones that exist technically but have not yet been activated), and providing an opportunity for weak ties to develop and strengthen. A new medium may also have positive effects on strongly tied pairs where it adds another means of communicating and supports the communication needs and tasks of the pair. However, where a new medium replaces a former, common means of communication, the dependence of weak ties on a common medium makes weak-tie networks highly susceptible to dissolution. In contrast, strong-tie networks, with their connections via multiple relations and multiple media, can be expected to be more robust under conditions of change.",,,,,"Haythornthwaite, Caroline/0000-0002-7311-3140",,,,,,,,,,,,0197-2243,,,,,OCT-DEC,2002,18,5,,,,,385,401,,10.1080/01972240290108195,,,,,,,WOS:000179443900006,,,,,
B,"Boczkowski, PJ",,,,"Boczkowski, PJ",,,Digitizing the News: Innovation in Online Newspapers,DIGITIZING THE NEWS: INNOVATION IN ONLINE NEWSPAPERS,Inside Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-262-25461-8; 978-0-262-02559-1,,,,2004,,,,,,,1,243,,,,,,,,,WOS:000280111900009,,,,,
J,"Ellison, NB; Vitak, J; Gray, R; Lampe, C",,,,"Ellison, Nicole B.; Vitak, Jessica; Gray, Rebecca; Lampe, Cliff",,,Cultivating Social Resources on Social Network Sites: Facebook Relationship Maintenance Behaviors and Their Role in Social Capital Processes,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,,,,,,,,,,,,"This study explores the relationship between perceived bridging social capital and specific Facebook-enabled communication behaviors using survey data from a sample of U. S. adults (N=614). We explore the role of a specific set of Facebook behaviors that support relationship maintenance and assess the extent to which demographic variables, time on site, total and ""actual"" Facebook Friends, and this new measure (Facebook Relationship Maintenance Behaviors) predict bridging social capital. Drawing upon scholarship on social capital and relationship maintenance, we discuss the role of social grooming and attention-signaling activities in shaping perceived access to resources in one's network as measured by bridging social capital.",,,,/V-2488-2018,/0000-0001-9362-9032,,,,,,,,,,,,1083-6101,,,,,JUL,2014,19,4,,,,,855,870,,10.1111/jcc4.12078,,,,,,,WOS:000339497800008,,,,,
J,"Parthasarathy, M; Bhattacherjee, A",,,,"Parthasarathy, M; Bhattacherjee, A",,,Understanding post-adoption behavior in the context of online services,INFORMATION SYSTEMS RESEARCH,,,,,,,,,,,,"This paper examines post-adoption behavior (continued adoption versus discontinuance) within the context of online service use. Innovation diffusion theory is used as a theoretical framework to extend information technology adoption research to the case of post-adoption behavior. This theory is used to formulate 11 research hypotheses distinguishing discontinuers from continuing adopters and exploring reasons behind their discontinuance (replacement versus disenchantment). These hypotheses were then empirically tested using data collected from a field survey of online service users. Our results indicate that potential discontinuers can be discriminated from continued adopters based on their sources of influence (external and interpersonal), perceived service attributes (usefulness and compatibility), service utilization, and network externality (complementary product usage), during their time of initial adoption. We also found that later adopters are more likely to discontinue due to disenchantment than replacement, and are more influenced by interpersonal sources and utilize the service less during their adoption period than replacement discontinuers. Implications for research and practice are drawn.",,,,,,,,,,,,,,,,,1047-7047,1526-5536,,,,DEC,1998,9,4,,,,,362,379,,10.1287/isre.9.4.362,,,,,,,WOS:000078525800006,,,,,
J,"Pawlowski, SD; Robey, D",,,,"Pawlowski, SD; Robey, D",,,Bridging user organizations: Knowledge brokering and the work of information technology professionals,MIS QUARTERLY,,,,,,,,,,,,"This interpretive case study examines knowledge brokering as an aspect of the work of information technology professionals. The purpose of this exploratory study is to understand knowledge brokering from the perspective of IT professionals as they reflect upon their work practice. As knowledge brokers, IT professionals see themselves as facilitating the flow of knowledge about both IT and business practices across the boundaries that separate work units within organizations. A qualitative analysis of interviews conducted with 23 IT professionals and business users in a large manufacturing and distribution company is summarized in a conceptual framework showing the conditions, practices, and consequences of knowledge brokering by IT professionals. The framework suggests that brokering practices are conditioned by structural conditions, including decentralization and a federated IT management organization, and by technical conditions, specifically shared IT systems that serve as boundary objects. Brokering practices include gaining permission to cross organizational boundaries, surfacing and challenging assumptions made by IT users, translation and interpretation, and relinquishing ownership of knowledge. Consequences of brokering are the transfer of both business and IT knowledge across units in the organization.",,,,"Guardado, Deana R/E-5431-2010",,,,,,,,,,,,,0276-7783,,,,,DEC,2004,28,4,,,,,645,672,,,,,,,,,WOS:000225729200006,,,,,
