PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Gomez-Solorzano, M; Tortoriello, M; Soda, G",,,,"Gomez-Solorzano, Manuel; Tortoriello, Marco; Soda, Giuseppe",,,Instrumental and affective ties within the laboratory: The impact of informal cliques on innovative productivity,STRATEGIC MANAGEMENT JOURNAL,,,,,,,,,,,,"Research Summary In this paper, we contribute to research on networks and innovation by distinguishing between instrumental and affective ties and assessing their impact on individual innovativeness. In particular, using original data from the corporate R&D laboratory of a global pharmaceutical company, we evaluate how a specific structural arrangement (i.e., belonging to a clique) affects inventors' innovative productivity. Our results show that both instrumental/knowledge-sharing cliques and affective/friendship cliques correlate positively with inventors' innovative productivity. However, we also observe that when inventors straddle knowledge-sharing and friendship cliques, their innovative productivity declines. Managerial Summary Firms competing in knowledge-intensive industries rely on the productivity of their inventors to develop innovations. Within these firms, inventors' innovative productivity is influenced by the people they interact with and by the benefits and costs associated with maintaining these relationships. We find that inventors' innovative productivity is enhanced by having strong and embedded relationships with their colleagues, regardless of these relationships being based on knowledge-sharing ties or friendship ties. However, when inventors are caught in between strong knowledge-sharing ties and strong friendship ties, their innovative productivity suffers, ultimately hampering the firm's innovative capabilities.",,,,,,,,,,,,,,,,,0143-2095,1097-0266,,,,OCT,2019,40,10,,,,,1593,1609,,10.1002/smj.3045,,,,,,,WOS:000484536400004,,,,,
J,"Wirtz, J; Orsingher, C; Cho, HC",,,,"Wirtz, Jochen; Orsingher, Chiara; Cho, Hichang",,,Engaging customers through online and offline referral reward programs,EUROPEAN JOURNAL OF MARKETING,,,,,,,,,,,,"Purpose This paper aims to examine the psychological consequences of a customer engagement initiative through referral reward programs (RRPs) in online versus offline environments. Design/methodology/approach The authors conducted a qualitative study followed by a scenario-based experimental study. Findings The authors show that recommenders' concern about how they are viewed by recommendation recipients (i.e. their metaperception) mediates the effects of incentives on referral likelihood in both offline and online environments. However, metaperception has a stronger effect offline where recommenders show higher impression management concerns compared to online. Furthermore, tie-strength and communication environment moderate the effect of incentives on metaperception. When referrals are made to weak-ties, incentives decrease metaperception favorability offline more than online. For strong-ties, this effect is lower, and it is similar in offline and online environments. Practical implications The authors recommend managers to design both online and offline RRPs that minimize metaperception concerns; target strong ties in any communication environment as metaperception concerns are low; and target weak ties online where metaperception concerns are muted. Originality/value This work is the first to examine how recommenders' psychological responses differ offline and online.",,,,,,,,,,,,,,,,,0309-0566,1758-7123,,,,9-Sep,2019,53,9,,,SI,,1962,1987,,10.1108/EJM-10-2017-0756,,,,,,,WOS:000487034900013,,,,,
J,"Barbosa, B; Fonseca, I",,,,"Barbosa, Belem; Fonseca, Isabel",,,A phenomenological approach to the collaborative consumer,JOURNAL OF CONSUMER MARKETING,,,,,,,,,,,,"Purpose Collaborative consumption emerges from social practices such as sharing, lending and gifting. It is becoming more common among consumers, boosted by the internet, which facilitates the collaboration process with both strong and weak ties. This paper aims to examine collaborative consumer experience, delving into the factors that contribute to the adoption and the perceived benefits of this alternative form of consumption. Design/methodology/approach A total of 12 phenomenological interviews were conducted o explore the theme from an individual perspective, attested by the consumers' narratives and experiences. Findings The results highlight collaborative consumption as being influenced by family practices, social relations and the current economic scenario. Also, noteworthy is the evidence that collaborative consumption enables consumers to select from a more diversified portfolio of products and services, especially the ones featured by the internet and social media. Consumers perceive financial, emotional, social, environmental and increased consumption benefits, depending on their practices of collaborative consumption, and also on their role as providers, consumers or exchangers. Originality/value Through the phenomenological approach, based on individual reports of experiences related to collaborative consumption, it was possible to highlight some aspects relevant to better understanding the behavior of collaborative consumers.",,,,"Barbosa, Belem/T-2252-2017","Barbosa, Belem/0000-0002-4057-360X",,,,,,,,,,,,0736-3761,2052-1200,,,,9-Sep,2019,36,6,,,,,705,714,,10.1108/JCM-11-2017-2468,,,,,,,WOS:000486001900001,,,,,
J,"Levin, DZ; Walter, J",,,,"Levin, Daniel Z.; Walter, Jorge",,,Before They Were Ties: Predicting the Value of Brand-New Connections,JOURNAL OF MANAGEMENT,,,,,,,,,,,,"Complementing and extending prior studies on the value of existing work relationships, this study examines whether we can predict the value of brand-new ties before people ever meet. We examine this question by developing three sets of hypotheses reflecting the three main perspectives in the social networks literature: the resource (actor), dyadic (tie), and structural (network) perspective. To test our hypotheses, we asked executives to reach out for advice from someone they had never met and to complete a survey of their various thoughts about the other person both before and after making a connection. We find support for all three perspectives after a connection has been made; however, before tie formation, we find evidence only for the structural perspective. Our results suggest that the lack of reliable information about strangers obscures which brand-new ties will turn out to be more valuable but that surrounding network structures remain a reliable predictor of value, even for brand-new ties.",,,,,,,,,,,,,,,,,0149-2063,1557-1211,,,,SEP,2019,45,7,,,,,2861,2890,,10.1177/0149206318769994,,,,,,,WOS:000481488500009,,,,,
J,"Ouakouak, ML; Ouedraogo, N",,,,"Ouakouak, Mohammed Laid; Ouedraogo, Noufou",,,Fostering knowledge sharing and knowledge utilization The impact of organizational commitment and trust,BUSINESS PROCESS MANAGEMENT JOURNAL,,,,,,,,,,,,"Purpose The purpose of this paper is to explore the influence of organizational commitment and trust on knowledge sharing and on knowledge utilization. Also, the study aims to examine the influence of knowledge sharing on knowledge utilization. Design/methodology/approach A quantitative study was conducted among 307 employees working at Canadian organizations. Findings The results reveal that both affective commitment and professional trust have positive influences on knowledge sharing and knowledge utilization, whereas personal trust and continuance commitment do not. The authors also found that business ethics moderates the relationship between knowledge sharing and knowledge utilization. Originality/value The current study offers an initial investigation of the effects of both kinds of commitment and trust on knowledge sharing and knowledge utilization.",,,,,,,,,,,,,,,,,1463-7154,1758-4116,,,,3-Jul,2019,25,4,,,,,757,779,,10.1108/BPMJ-05-2017-0107,,,,,,,WOS:000479201200009,,,,,
J,"Landqvist, M; Lind, F",,,,"Landqvist, Maria; Lind, Frida",,,A start-up embedding in three business network settings - A matter of resource combining,INDUSTRIAL MARKETING MANAGEMENT,,,,,,,,,,,,"This paper focuses on how newly established technology-based start-up companies become part of the business landscape. In more detail, the aim of the paper is to analyse how a start-up becomes embedded through its networking behaviours in a business network. To approach this phenomenon, the theoretical frame of reference is based on the industrial network approach to industrial markets separating developing, producing and using settings. The business network settings are combined with networking behaviours consisting of both strong and weak ties. Importantly, for a start-up to become embedded through networking, resources of the start-up need to be combined with resources in the three business network settings. The paper relies on a case study methodology focusing on a start-up, founded at a technical university in Sweden, and its networking behaviours. The paper concludes that networking behaviours relying on strong ties are crucial to resource combining. However, the analysis also shows the importance of networking behaviours of weak ties, acquiring information and interaction to sensing new opportunities. The paper ends with managerial implications for start-up managers, pinpointing the need to work with both strong and weak ties as a platform to eventually become embedded in business networks.",,,,,,,,,,,,,,,,,0019-8501,1873-2062,,,,JUL,2019,80,,,,,,160,171,,10.1016/j.indmarman.2017.12.005,,,,,,,WOS:000480512000015,,,,,
J,"Thornton, SC; Henneberg, SC; Leischnig, A; Naude, P",,,,"Thornton, Sabrina C.; Henneberg, Stephan C.; Leischnig, Alexander; Naude, Peter",,,It's in the Mix: How Firms Configure Resource Mobilization for New Product Success,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,,,,,,,,,,,,"This paper aims to deepen the understanding about when and how the mobilization of resources through strong and weak ties in a focal firm's network can affect new product success. It addresses two significant gaps in the literature. While prior research has advanced the understanding of how factors around tie strength, resource mobilization, and environmental characteristics relate to new product development, it has yet to offer a more holistic understanding of the interconnected structures and the interplay among these factors. Furthermore, limited insights exist about how firms could utilize resource mobilization approaches in different environmental contexts to enhance new product success. Building on resource dependence theory, this paper contributes to prior work by adopting configuration theoretical considerations and performing an empirical investigation to identify necessary and sufficient conditions for new product success. Based on data from a survey of 354 managers from manufacturing and services firms in the United Kingdom, the study conducts a configurational comparative study based on fuzzy-set Qualitative Comparative Analysis to examine configurations of strong-tie and weak-tie resource mobilization approaches within particular environmental contexts for new product success. The findings reveal alternative, equifinal configurations for new product success, and add to the existing body of work by connecting the notions of network ties, resource mobilization, and context dependence, as well as by developing an integrative framework to explain the interplay of remote and proximate conditions for new product success. For management practice, this study offers guidance in describing and diagnosing business contexts that enhance new product success, and in identifying resource mobilization action repertoires to capitalize on these contexts.",,,,,,,,,,,,,,,,,0737-6782,1540-5885,,,,JUL,2019,36,4,,,,,513,531,,10.1111/jpim.12489,,,,,,,WOS:000469993000006,,,,,
J,"Sklyar, A; Kowalkowski, C; Sorhammar, D; Tronvoll, B",,,,"Sklyar, Alexey; Kowalkowski, Christian; Sorhammar, David; Tronvoll, Bard",,,Resource integration through digitalisation: a service ecosystem perspective,JOURNAL OF MARKETING MANAGEMENT,,,,,,,,,,,,"As digitalisation increasingly encompasses entire service ecosystems, it modifies resource integration patterns that connect ecosystem actors through strong and weak ties. To clarify how technological development contributes to this change, and how resource integration transforms the service ecosystem, this qualitative case study explores the digitalisation strategy of a market-leading systems integrator in the maritime industry. Based on 40 depth interviews with managers, the findings show how technology increasingly serves as a key operant resource in the transformation of resource integration patterns. The study contributes to ecosystem dynamics research by identifying major differences between the pre-digitalised and digitalised states of a service ecosystem, and demonstrates the dual role of technology in both increasing pattern complexity and facilitating coordination of that complexity.",,,,"Sklyar, Alexey/I-2570-2018; Kowalkowski, Christian/B-7083-2011","Sklyar, Alexey/0000-0002-5483-1745; Kowalkowski, Christian/0000-0002-4081-9737; Tronvoll, Bard/0000-0002-5605-9285; Sorhammar, David/0000-0002-5558-9014",,,,,,,,,,,,0267-257X,1472-1376,,,,24-Jul,2019,35,12-Nov,,,,,974,991,,10.1080/0267257X.2019.1600572,,Apr-19,,,,,WOS:000466220700001,,,,,
J,"Kim, M; Cichy, RF; Zhang, L; Yu, J",,,,"Kim, MiRan; Cichy, Ronald F.; Zhang, Lu; Yu, JungHee",,,Antecedents of social capital and its impact on satisfaction and Loyalty,JOURNAL OF HOSPITALITY MARKETING & MANAGEMENT,,,,,,,,,,,,"This study explores how private club members' involvement with a club's events/activities and online communities, influence club members' bonding and bridging social capital, satisfaction, and loyalty to the club. An online survey of private club members across the U.S. was used to conduct this research. The findings of this study indicate (1) that there is a significant relationship between involvement with a club's social events and activities and bonding and bridging social capital; and (2) that there is a significant mediating effect of involvement with a club's social events and activities on the relationship between involvement with a club's online communities and social capital. This study is among the first to examine the relationships among social capital, its antecedents, and consequences within a private club industry context.",,,,,,,,,,,,,,,,,1936-8623,1936-8631,,,,17-Feb,2019,28,2,,,,,263,284,,10.1080/19368623.2018.1510798,,,,,,,WOS:000456485900006,,,,,
J,"Crane, B; Hartwell, CJ",,,,"Crane, Bret; Hartwell, Christopher J.",,,Global talent management: A life cycle view of the interaction between human and social capital,JOURNAL OF WORLD BUSINESS,,,,,,,,,,,,"We present a theoretical model that describes the interaction between social and human capital and the different forms that such an interaction may take - positive and negative. Extending the concepts of stocks and flows of knowledge, this model evaluates social capital flows against human capital stocks. When we compare these flows to the value of human capital, we are able to better understand how these resources can interact with each other, influence global talent development, and change over time. We discuss the implications for practices in global talent management in selecting, developing, and harnessing talent.",,,,,"Hartwell, Christopher/0000-0002-3405-3229",,,,,,,,,,,,1090-9516,1878-5573,,,,FEB,2019,54,2,,,,,82,92,,10.1016/j.jwb.2018.11.002,,,,,,,WOS:000459842400002,,,,,
