PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Mehreen, A; Hui, Y; Ali, Z",,,,"Mehreen, Aqsa; Hui, Yang; Ali, Zulqurnain",,,A social network theory perspective on how social ties influence perceived employability and job insecurity: evidence from school teachers,SOCIAL NETWORK ANALYSIS AND MINING,,,,,,,,,,,,"With the emergence of critical educational reforms and agentic career perspective, unemployment and job insecurity are considered a significant threat to school teachers in Pakistan. Drawing on the social network theory (SNT), this study attempts to investigate the effect of social network ties on perceived employability (PEM) and job insecurity (JIS) and how PEM mediates the association between social ties and job insecurity. Moreover, the current study pursues to assess the moderation effect of information sharing in the association between social network ties and PEM. Using the survey approach, we recruited teachers from government schools. The proposed model and relationships were validated through structural equation modeling and hierarchical linear regression. The findings revealed that strong tie is significantly related to PEM and JIS. Similarly, the weak tie is significantly related to PEM except for JIS. This study extends SNT by empirically establishing the influence of network characteristics (strong and weak ties) on PEM and JIS. This study helps school management and government policymakers to enhance teacher's PEM and job security through networking and training opportunities. This research moreover guides government policymakers to formulate realistic education policies with the consensuses of school management. This practice will enhance teachers' trust toward acceptance and implementation of educational policies. The present research successfully covers the gap by establishing the association of social network ties with PEM and JIS which was largely ignored in the literature on social employment management.",,,,,,,,,,,,,,,,,1869-5450,1869-5469,,,,12-Jun,2019,9,1,,,,,,,25,10.1007/s13278-019-0572-z,,,,,,,WOS:000471317100001,,,,,
J,"Romero, DM; Uzzi, B; Kleinberg, J",,,,"Romero, Daniel M.; Uzzi, Brian; Kleinberg, Jon",,,Social Networks under Stress: Specialized Team Roles and Their Communication Structure,ACM TRANSACTIONS ON THE WEB,,,,,,,,,,,,"Social network research has begun to take advantage of fine-grained communications regarding coordination, decision-making, and knowledge sharing. These studies, however, have not generally analyzed how external events are associated with a social network's structure and communicative properties. Here, we study how external events are associated with a network's change in structure and communications. Analyzing a complete dataset of millions of instant messages among the decision-makers with different roles in a large hedge fund and their network of outside contacts, we investigate the link between price shocks, network structure, and change in the affect and cognition of decision-makers embedded in the network. We also analyze the communication dynamics among specialized teams in the organization. When price shocks occur the communication network tends not to display structural changes associated with adaptiveness such as the activation of weak ties to obtain novel information. Rather, the network ""turtles up."" It displays a propensity for higher clustering, strong tie interaction, and an intensification of insider vs. outsider and within-role vs. between-role communication. Further, we find changes in network structure predict shifts in cognitive and affective processes, execution of new transactions, and local optimality of transactions better than prices, revealing the important predictive relationship between network structure and collective behavior within a social network.",,,,,,,,,,,,,,,,,1559-1131,1559-114X,,,,FEB,2019,13,1,,,,,,,6,10.1145/3295460,,,,,,,WOS:000459799600006,,,,,
J,"Zigron, S; Bronstein, J",,,,"Zigron, Shimrit; Bronstein, Jenny",,,Help is where you find it: The role of weak ties networks as sources of information and support in virtual health communities,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,,,,,,,,,,,,"Virtual health communities allow people with health-related concerns to engage in supportive communication with individuals coping with similar problems that would be difficult or impossible to form in the face-to-face world. This study examined the information interactions in an Israeli virtual health community on Facebook dealing with ulcerative colitis and Crohn's disease drawing from the ""weak ties"" network theory as a theoretical framework. Weak ties are social ties or acquaintances that can function as an important source for diversified experiential information and emotional support, reducing stigma and providing a sense of belonging. The study consisted of 23 semistructured interviews with registered members of the group. Findings of this study parallel the four functions of weak ties by allowing chronically ill patients: access to diverse sources of information including experiential information from others suffering from the same illness; the possibility to disclose personal information reducing fear from stigma or rejection; and a sense of belonging.",,,,,"Bronstein, Jenny/0000-0003-0424-3870",,,,,,,,,,,,2330-1635,2330-1643,,,,FEB,2019,70,2,,,,,130,139,,10.1002/asi.24106,,,,,,,WOS:000454956400003,,,,,
J,"Guan, DH; Wang, TT; Yuan, WW; Zhang, LJ; Tian, Y; Al-Dhelaan, M; Al-Dhelaan, A",,,,"Guan, Donghai; Wang, Tingting; Yuan, Weiwei; Zhang, Lejun; Tian, Yuan; Al-Dhelaan, Mohammed; Al-Dhelaan, Abdullah",,,SWNF: Sign Prediction of Weak Ties Based on the Network Features,IEEE ACCESS,,,,,,,,,,,,"Most of existing community detection algorithms group nodes with more connections into the same community, and they are more concerned with links within the community. However, the weak ties between different communities are also important, because they can reflect the relationships between different communities, including helpful, friendly or negative, and adverse. Few studies focus on weak ties, although they are important. In this paper, we propose a novel sign prediction model based on the nodes features in the network, including the Jaccard similarity and the ratio of the negative degrees of all nodes, and the autoencoder technology that self-defines its loss function with the features of the communities. The proposed model maps the original network to a low-dimensional space so that the weak ties can be represented by low-dimensional vectors. We conduct experiments on the Epinions and Slashdot datasets and find that the proposed model outperforms the challenging state-of-the-art graph embedding methods in the sign prediction of weak ties in terms of accuracy and F1 score measurement.",,,,,,,,,,,,,,,,,2169-3536,,,,,,2019,7,,,,,,102054,102063,,10.1109/ACCESS.2019.2928438,,,,,,,WOS:000481688500127,,,,,
J,"Shi, W; Weber, MS",,,,"Shi, Wei; Weber, Matthew S.",,,Rethinking the complexity of virtual work and knowledge sharing,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,,,,,,,,,,,,"Employees in distributed organizations often engage in virtual work arrangements to accomplish day-to-day tasks. In turn, a lack of physical cues, challenges in establishing common ground with others and reduced face-to-face interaction each has the potential to hinder communication within an organization. Large multinational organizations may rely on transactive memory systems as a means of sharing knowledge and helping employees to accomplish day-to-day tasks. Research demonstrates that new information communication technology facilitates the development of transactive memory systems, but the role of transactive memory in virtual work arrangements is less studied. This article explores how dimensions of virtual work impact transactive memory systems. Data were collected from a large multinational organization that provides technology consulting services. Findings from this study demonstrate a clear relationship between the formation of transactive memory systems and the degree of geographic dispersion of employees. Moreover, the formation of transactive memory systems is negatively impacted by the diversity of teams' job functions. The use of internal information communication technology plays a positive role in influencing organizational memory when teams are geographically and functionally diverse. The results provide insight into how organizations can better utilize transactive memory systems to improve communication in virtual settings.",,,,,"Weber, Matthew/0000-0003-3880-9131",,,,,,,,,,,,2330-1635,2330-1643,,,,NOV,2018,69,11,,,,,1318,1329,,10.1002/asi.24055,,,,,,,WOS:000449484500003,,,,,
J,"Shi, YJ; Zhu, XC; Liu, B; Li, L",,,,"Shi, Yingjie; Zhu, Xuechang; Liu, Bin; Li, Lei",,,Social networks and the wages of job seekers: the case of China,SOCIAL NETWORK ANALYSIS AND MINING,,,,,,,,,,,,"This research empirically explores whether the intensity of social networks affects the wages of workers or not using survey data from the Chinese households' income project in 2002. After controlling for gender, work experience, political affiliation, marital status, years of education and other factors, we show that the social networks are useful for the job hunter to find jobs, but they have little contributions to higher wages. Further studies indicate that the social networks with ""strong ties"" for job seekers are not conducive to enhancing the wages of workers. However, the social networks with ""weak ties"" have a lower job hunting probability and heterogeneity benefit for improving wage levels. Furthermore, we employ family dynamic survey data from China in 2006 to make robustness check, and results are still robust.",,,,,"Zhu, Xuechang/0000-0002-3457-469X",,,,,,,,,,,,1869-5450,1869-5469,,,,3-Aug,2018,8,1,,,,,,,51,10.1007/s13278-018-0529-7,,,,,,,WOS:000440834300001,,,,,
J,"Kim, HM; Jung, S; Park, J",,,,"Kim, Hyun Mo; Jung, SunHo; Park, JaeHong",,,The impact of past performance on information valuation in virtual communities: Empirical study in online stock message boards,INFORMATION PROCESSING & MANAGEMENT,,,,,,,,,,,,"Unlike other types of virtual communities, individuals participate in online stock message boards for their material needs rather than non-material needs (e.g., sense of belonging). They may seek and read others' opinions to make better investment performances. The value of information in online stock message boards may vary from person to person according to their past investment experiences. However, little is known regarding how their past investment performance influences the value of others' opinions. Therefore, our study investigates how individuals process others' opinions on stock message boards for their investment decisions when they have different levels of past investment performance. We proposed the unique research model with two paths consisting of both online stock message board factors and individual factors to determine continuous use of online stock message boards. We conducted SEM analysis with 452 questionnaire data. The results, first, showed that message boards factors (e.g., satisfaction using others' opinions) have a positive impact on continuous intention to use while their own satisfaction with past investment activities has a negative impact on continuous intention to use. In addition, we believe that this is one of the few papers to examine the moderating role of self-attribution bias on the effects of stock investment performance. Our results indicated that investors with strong self-attribution bias lower the usefulness of opinions when losing money while they increased confidence in their investment-related abilities when achieving a profit from investment. This study will help to support and extend the theory of IS continuance model while providing practical insights for online stock message board managers by suggesting ways to vitalize online stock message boards.",,,,,,,,,,,,,,,,,0306-4573,1873-5371,,,,JUL,2018,54,4,,,,,740,753,,10.1016/j.ipm.2017.10.007,,,,,,,WOS:000434743700016,,,,,
J,"Zimmermann, A; Oshri, I; Lioliou, E; Gerbasi, A",,,,"Zimmermann, Angelika; Oshri, Ilan; Lioliou, Eleni; Gerbasi, Alexandra",,,Sourcing in or out: Implications for social capital and knowledge sharing,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,,,,,,,,,,,,"The sharing of knowledge between a firm and its internal or external service suppliers has become an important element of contemporary sourcing arrangements. Moreover, the knowledge based view (KBV) has long suggested that due to stronger cognitive links within firms, internal compared to external service provision creates better conditions for knowledge sharing. Empirical evidence for this claim is however scarce, and the KBV does not explain the mechanisms for more knowledge sharing in internal sourcing in detail. Moreover, there is now some evidence to suggest that firms' relationships with external sourcing partners are becoming more similar to those with captive centres, which represent a less traditional form of insourcing setting. To scrutinize the possible knowledge sharing advantages of internal sourcing in more depth, we turn to social capital (SC) research. There are some theoretical claims that SC and knowledge sharing are stronger within than between firms, and there is ample evidence that SC facilitates knowledge sharing. Our survey results suggest that the extent of knowledge sharing and SC are indeed stronger in a captive than in an external sourcing mode, and that structural (tie strength), cognitive (shared understanding), and relational (trust) aspects of SC mediate the effect of sourcing mode on the extent of knowledge sharing. By contrast, network stability (a structural aspect) mediated knowledge sharing only indirectly, by reinforcing the other SC aspects. We highlight important contributions to research and practice of IS outsourcing and social capital. (C) 2017 Elsevier B.V. All rights reserved.",,,,"Oshri, Ilan/C-9769-2014",,,,,,,,,,,,,0963-8687,1873-1198,,,,MAR,2018,27,1,,,,,82,100,,10.1016/j.jsis.2017.05.001,,,,,,,WOS:000430518300006,,,,,
B,"Sanz-Cruzado, J; Castells, P",,,ACM,"Sanz-Cruzado, Javier; Castells, Pablo",,,Enhancing Structural Diversity in Social Networks by Recommending Weak Ties,12TH ACM CONFERENCE ON RECOMMENDER SYSTEMS (RECSYS),,,,,12th ACM Conference on Recommender Systems (RecSys),"OCT 02-07, 2018","Vancouver, CANADA","Spotify, Univ Massachusetts Amherst, Johannes Kepler Univ Linz, ACM",,,,"Contact recommendation has become a common functionality in online social platforms, and an established research topic in the social networks and recommender systems fields. Predicting and recommending links has been mainly addressed to date as an accuracy-targeting problem. In this paper we put forward a different perspective, considering that correctly predicted links may not be all equally valuable. Contact recommendation brings an opportunity to drive the structural evolution of a social network towards desirable properties of the network as a whole, beyond the sum of the isolated gains for the individual users to whom recommendations are delivered - global properties that we may want to assess and promote as explicit recommendation targets. In this perspective, we research the definition of relevant diversity metrics drawing from social network analysis concepts, and linking to prior diversity notions in recommender systems. In particular, we elaborate on the notion of weak tie recommendation as a means to enhance the structural diversity of networks. In order to show the signification of the proposed metrics, we report experiments with Twitter data illustrating how state of the art contact recommendation methods compare in terms of our metrics; we examine the tradeoff with accuracy, and we show that diverse link recommendations result in a corresponding diversity enhancement in the flow of information through the network, with potential implications in mitigating filter bubbles.",,,,"Sanz-Cruzado, Javier/Y-7074-2019","Sanz-Cruzado, Javier/0000-0002-7829-5174",,,,,,,,,,,,,,978-1-4503-5901-6,,,,2018,,,,,,,233,241,,10.1145/3240323.3240371,,,,,,,WOS:000458675100033,,,,,
B,"Ghaffar, F; Buda, TS; Assem, H; Afsharinejad, A; Hurley, N",,"Brandes, U; Reddy, C; Tagarelli, A",,"Ghaffar, Faisal; Buda, Teodora Sandra; Assem, Haytham; Afsharinejad, Armita; Hurley, Neil",,,A framework for enterprise social network assessment and weak ties recommendation,2018 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM),,,,,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),"AUG 28-31, 2018","Barcelona, SPAIN","IEEE, Assoc Comp Machinery, IEEE Comp Soc, ACM SIGKDD, IEEE TCDE, Springer, Elsevier",,,,"Sociological theories of career success provide fundamental principles for the analysis of social links to identify patterns that facilitate career development. Some theories (e.g. Granovetter's Strength of Weak Ties Theory and Burt's Structural Hole Theory) have shown that certain types of social ties provide career advantage to individuals by facilitating them to access unique information and connecting them with a diverse range of others in different social cliques. The assessment of link types and prediction of new links in the external social networks such as Facebook and Twitter have been studied extensively. However, this has not been addressed in the enterprise social networks and especially the prediction of weak ties in the context of employee career development. In this paper, we address this problem by proposing an Enterprise Weak Ties Recommendation (EWTR) framework which leverages enterprise social networks, employee collaboration activity streams and the organizational chart. We formulate weak ties recommendation as a link prediction problem. However, unlike any generic link prediction work, we first validated explicit enterprise social network with a set of heterogeneous collaboration networks and show assessment improves the explicit network's effectiveness in predicting new links. Furthermore, we leverage assessed social network for the weak ties prediction by optimizing the link prediction methods using organizational chart information. We demonstrate that optimization improves prediction accuracy in terms of AUC and average precision and our characterization of weak ties to a certain extent aligns with Granovetter's and Burt's seminal studies.",,,,,,,,,,,,,,,,,,,978-1-5386-6051-5,,,,2018,,,,,,,678,685,,,,,,,,,WOS:000455640600118,,,,,
