PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Bouchillon, BC",,,,"Bouchillon, Brandon C.",,,"Patching the Melting Pot: Sociability in Facebook Groups for Engagement, Trust, and Perceptions of Difference",SOCIAL SCIENCE COMPUTER REVIEW,,,,,,,,,,,,"The more racial or ethnic diversity a person lives around in America, the less likely they are to take part in civic life, or to profess feelings of trust for the average person. Differences have instead become reasons to pull back, prompting a mass erosion of social capital, by undermining social contact. The present study moves the conversation online, to the Facebook group setting in particular, as a means of highlighting shared interests while downplaying other differences at first. Results of a national web survey (N = 1,005) indicate the use of Facebook groups for meeting new people relates to civic participation, along with added weak-tie discussions, which spill over to participation again indirectly. Sociability use of Facebook groups is also a source of bridging social capital, or having more active weak ties upon which to draw, and this contributes to trusting in people. Localized diversity becomes a reason to trust as well, but only for sociable Facebook group users. Less sociable users still mistrust at the sight of difference, but online social efforts appear to swing the direction of influence, for converting neighborhood-level racial and ethnic diversity into trust.",,,,,,,,,,,,,,,,,0894-4393,1552-8286,,,,OCT,2019,37,5,,,,,611,630,,10.1177/0894439318791241,,,,,,,WOS:000482953700002,,,,,
J,"Ganguly, A; Talukdar, A; Chatterjee, D",,,,"Ganguly, Anirban; Talukdar, Asim; Chatterjee, Debdeep",,,"Evaluating the role of social capital, tacit knowledge sharing, knowledge quality and reciprocity in determining innovation capability of an organization",JOURNAL OF KNOWLEDGE MANAGEMENT,,,,,,,,,,,,"Purpose Knowledge sharing has become an integral part of organizations' business strategies, along with aiding organizations to grow and innovate in the market, and gain competitive advantage. This paper aims to concentrate on the role of tacit knowledge sharing in fostering innovation capability of an organization. Specifically, the study considers social capital (relational, cognitive and structural) as an important precursors to tacit knowledge sharing, which in turn, influences innovation capability of an organization. The study further discusses the role that knowledge reciprocation plays in successful tacit knowledge sharing. The relation between knowledge quality and innovation capability is also discussed in the paper. Design/methodology/approach The investigation started with a review of extant literature in the field of knowledge sharing and innovation to derive a set of constructs. A set of hypotheses was developed based on the identified constructs, which was subsequently validated through a primary survey based on a structured questionnaire on a sample size of 190 respondents from the Indian industrial domain. The survey responses were subsequently analysed using the statistical technique of structural equation modeling and conclusions were drawn from the findings. Additionally, careful attention was paid in eliminating the common method bias, which is often associated with a primary survey. Findings A set of six hypotheses were derived based on the identified constructs and were subsequently validated. While validating the hypotheses, it was observed that while knowledge reciprocity, relational social capital and cognitive social capital was positive associated with tacit knowledge sharing, structural social capital did not have a significant effect on the same. Additionally, it was also observed that both tacit knowledge sharing and the quality of knowledge were positively associated with innovation capability. Originality/value Although there is a growing body of literature concerning the role of knowledge management in innovation, there still a dearth in discussing the role of tacit knowledge sharing in exploiting the innovation capability of an organization. The main discussion of this paper brings together a set of important constructs that exhibits the significant role that tacit knowledge sharing plays in determining the innovation capability of an organization. Furthermore, it tries to marry the concepts of social capital and tacit knowledge sharing with innovation capability, therefore adding significantly to the body of literature in knowledge management as well as innovation.",,,,,,,,,,,,,,,,,1367-3270,1758-7484,,,,12-Aug,2019,23,6,,,,,1105,1135,,10.1108/JKM-03-2018-0190,,,,,,,WOS:000480804500004,,,,,
J,"Anand, A; Walsh, I; Moffett, S",,,,"Anand, Amitabh; Walsh, Isabelle; Moffett, Sandra",,,Does humility facilitate knowledge sharing? Investigating the role of humble knowledge inquiry and response,JOURNAL OF KNOWLEDGE MANAGEMENT,,,,,,,,,,,,"Purpose Despite the strong focus on virtues in firms, humility is little recognized in the management literature and, more particularly in the literature about knowledge sharing (KS). Despite efforts to foster KS among employees in firms, the effectiveness of this process narrows down to the dyadic relationship between the knowledge seeker and provider within firm. This paper aims to investigate the role of humility in the KS process in dyadic activity. Design/methodology/approach The authors undertake an exploratory investigation to fill some of the gaps found in the literature. The paper draws insights from psychology, history, religion, current events and management literature. Findings The authors identify several individual propensities that help predict humility towards sharing knowledge from seeker (humble knowledge-inquiry) and provider perspectives (humble response). They propose a new conceptual process model of KS with humility as an important variable to consider. This work highlights several promising directions for future research. Originality/value As per the authors' knowledge, this is the first paper that investigates the role of humility in knowledge sharing from dyadic perspective. The authors also introduce concepts of humble knowledge inquiry and humble response in a dyadic context for effective knowledge sharing process.",,,,,,,,,,,,,,,,,1367-3270,1758-7484,,,,12-Aug,2019,23,6,,,,,1218,1244,,10.1108/JKM-06-2018-0353,,,,,,,WOS:000480804500009,,,,,
J,"Wei, R; Liu, X; Liu, XC",,,,"Wei, Ran; Liu, Xun (Sunny); Liu, Xinchuan",,,Examining the perceptual and behavioral effects of mobile internet fraud: A social network approach,TELEMATICS AND INFORMATICS,,,,,,,,,,,,"Informed by the growing third-person effect research of social and online media, the present study examines the perceived negative impact of increasing mobile Internet fraud on user's social ties and their likely response to cope with the rising fraud. A probability sample of 816 respondents in China was used in collecting data regarding the beliefs of their own and other's vulnerability to fraud online. Key findings show that their negative perceptions of mobile Internet fraud vary significantly by the strength of their social relationships and network homogeneity the closer the ties, the greater perceived vulnerability to mobile Internet fraud; the more homogenous their social networks, the more pronounced the pattern. In addition, awareness of the fraud was found to enhance the self-other perceptual gap. Finally, the perceived negative impact of the fraud on self leads to protective actions in terms of verifying suspicious messages. On the other hand, the negatively perceived impact on weak ties is related to staying alert and reducing the use of mobile Internet, suggesting that respondents viewed fraud victims in their social network as warnings.",,,,,,,,,,,,,,,,,0736-5853,,,,,AUG,2019,41,,,,,,103,113,,10.1016/j.tele.2019.04.002,,,,,,,WOS:000474681900008,,,,,
J,"Zuo, ZY; Zhao, K; Ni, CQ",,,,"Zuo, Zhiya; Zhao, Kang; Ni, Chaoqun",,,Standing on the shoulders of giants?-Faculty hiring in information schools,JOURNAL OF INFORMETRICS,,,,,,,,,,,,"The past three decades have witnessed the tremendous growth of the number of information schools (a.k.a., iSchools) and the size of their faculty bodies. However, there is little empirical evidence in faculty hiring patterns within the community. Analyzing hand-curated data of 81 junior and 485 senior faculty members from 27 iSchools in the United States and a total of 41981 journal and conference proceeding publications, we investigate the effects of collaboration experience on placement quality, controlling for other well studied factors including gender, scholarly performance, and prestige of degree-granting programs. In particular, we find that strong ties in collaboration, as measured by PhD advisors' academic achievements, have little correlation with placement quality fixing other factors. On the other hand, weak ties, manifested by coauthors excluding advisors, are found to be beneficial. Providing a better understanding of hiring practice in iSchools, the results highlight the importance of ""standing on the shoulders of giants"" for junior information science researchers wishing to find high-quality faculty job. Finally, our findings lay the foundation for future investigations, where stakeholders and administrators can assess the effectiveness of existing hiring strategies, which in turn provide managerial and policy implications for iSchools to adapt to the fast growing landscape of information science. (C) 2019 Elsevier Ltd. All rights reserved.",,,,"Zuo, Zhiya/Z-6130-2019","Zuo, Zhiya/0000-0002-3771-4731",,,,,,,,,,,,1751-1577,1875-5879,,,,FEB,2019,13,1,,,,,341,353,,10.1016/j.joi.2019.01.007,,,,,,,WOS:000460550800018,,,,,
J,"Zigron, S; Bronstein, J",,,,"Zigron, Shimrit; Bronstein, Jenny",,,Help is where you find it: The role of weak ties networks as sources of information and support in virtual health communities,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,,,,,,,,,,,,"Virtual health communities allow people with health-related concerns to engage in supportive communication with individuals coping with similar problems that would be difficult or impossible to form in the face-to-face world. This study examined the information interactions in an Israeli virtual health community on Facebook dealing with ulcerative colitis and Crohn's disease drawing from the ""weak ties"" network theory as a theoretical framework. Weak ties are social ties or acquaintances that can function as an important source for diversified experiential information and emotional support, reducing stigma and providing a sense of belonging. The study consisted of 23 semistructured interviews with registered members of the group. Findings of this study parallel the four functions of weak ties by allowing chronically ill patients: access to diverse sources of information including experiential information from others suffering from the same illness; the possibility to disclose personal information reducing fear from stigma or rejection; and a sense of belonging.",,,,,"Bronstein, Jenny/0000-0003-0424-3870",,,,,,,,,,,,2330-1635,2330-1643,,,,FEB,2019,70,2,,,,,130,139,,10.1002/asi.24106,,,,,,,WOS:000454956400003,,,,,
J,"Shi, W; Weber, MS",,,,"Shi, Wei; Weber, Matthew S.",,,Rethinking the complexity of virtual work and knowledge sharing,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,,,,,,,,,,,,"Employees in distributed organizations often engage in virtual work arrangements to accomplish day-to-day tasks. In turn, a lack of physical cues, challenges in establishing common ground with others and reduced face-to-face interaction each has the potential to hinder communication within an organization. Large multinational organizations may rely on transactive memory systems as a means of sharing knowledge and helping employees to accomplish day-to-day tasks. Research demonstrates that new information communication technology facilitates the development of transactive memory systems, but the role of transactive memory in virtual work arrangements is less studied. This article explores how dimensions of virtual work impact transactive memory systems. Data were collected from a large multinational organization that provides technology consulting services. Findings from this study demonstrate a clear relationship between the formation of transactive memory systems and the degree of geographic dispersion of employees. Moreover, the formation of transactive memory systems is negatively impacted by the diversity of teams' job functions. The use of internal information communication technology plays a positive role in influencing organizational memory when teams are geographically and functionally diverse. The results provide insight into how organizations can better utilize transactive memory systems to improve communication in virtual settings.",,,,,"Weber, Matthew/0000-0003-3880-9131",,,,,,,,,,,,2330-1635,2330-1643,,,,NOV,2018,69,11,,,,,1318,1329,,10.1002/asi.24055,,,,,,,WOS:000449484500003,,,,,
J,"Qureshi, I; Fang, YL; Haggerty, N; Compeau, DR; Zhang, XJ",,,,"Qureshi, Israr; Fang, Yulin; Haggerty, Nicole; Compeau, Deborah R.; Zhang, Xiaojie",,,IT-mediated social interactions and knowledge sharing: Role of competence-based trust and background heterogeneity,INFORMATION SYSTEMS JOURNAL,,,,,,,,,,,,"In the knowledge-based economy, organizational success is dependent on how effectively organizational employees share information. Many studies have investigated how different types of communication activities and communications media influence knowledge sharing. We contribute to this literature by examining increasingly prevalent yet understudied IT-mediated social interactions and their effects on knowledge sharing among employees in comparison to face-to-face social connections. By integrating the literature on knowledge sharing, social networks, and information systems, we theorize the ability of IT-mediated social interaction to (1) afford interactions between individuals with heterogeneous backgrounds and (2) facilitate frequent IT-mediated social interactions that are high in competence-based trustboth supporting effective sharing of knowledge. Through a social network analysis of the employees in a high-tech organization, this study finds that IT-mediated frequent social interactions are the most effective in promoting knowledge sharing.",,,,,"Qureshi, Israr/0000-0002-5263-0587",,,,,,,,,,,,1350-1917,1365-2575,,,,SEP,2018,28,5,,,,,929,955,,10.1111/isj.12181,,,,,,,WOS:000440923400008,,,,,
J,"Choi, S; Yang, JS; Chen, WH",,,,"Choi, Sujin; Yang, Joshua SungWoo; Chen, Wenhong",,,Longitudinal Change of an Online Political Discussion Forum: Antecedents of Discussion Network Size and Evolution,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,,,,,,,,,,,,"By analyzing 13-month longitudinal digital trace data, we examined why some people have larger discussion networks than others and which communication and relational characteristics contribute to the evolution of discussion network ties. Implementing a network analysis, we found that an online forum's structural qualities tended to become stable over time. Discussants' average network size was 4.6, and discussants retained one out of five members after more than one year. Those who had larger networks tended to participate in more conversations rather than staying longer or showing up more frequently. One's reputation or potential political heterogeneity from the general consensus of the forum did not influence one's network size. Reciprocity and popularity contributed to the maintenance or creation of discussion ties.",,,,,,,,,,,,,,,,,1083-6101,,,,,SEP,2018,23,5,,,,,260,277,,10.1093/jcmc/zmy013,,,,,,,WOS:000443544500002,,,,,
J,"Mowbray, J; Hall, H; Raeside, R; Robertson, PJ",,,,"Mowbray, John; Hall, Hazel; Raeside, Robert; Robertson, Peter J.",,,Job search information behaviours: An ego-net study of networking amongst young job-seekers,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,,,,,,,,,,,,"Networking is considered an integral feature of job search, yet its behavioural manifestation has received little attention in the extant literature. Here this is addressed in a study of young job-seekers that adopted an egocentric network approach underpinned by Information Behaviour theory, with specific reference to Wilson's model of information needs and seeking. The analysis of data from semi-structured interviews reveals that job-seekers acquire a broad range of job search information from contacts in their networks, and that the contributions of such contacts extend beyond the sharing of job vacancy alerts. In addition, in cases where social media platforms are accessed by job-seekers, these facilitate crucial ties to industry contacts, and provide valuable informational opportunities to those who adopt them. These findings contribute to a widened understanding of the information behaviours that support the effective mobilisation of contacts within social networks during job search, and are of particular interest to policy-makers whose remit includes the employability of the youth labour force.",,,,,,,,,,,,,,,,,0961-0006,1741-6477,,,,SEP,2018,50,3,,,SI,,239,253,,10.1177/0961000618769965,,,,,,,WOS:000443347600002,,,,,
