PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Perkins, G",,,,"Perkins, Graham",,,Exploring the Mechanisms through which Strong Ties Impact upon the Development of Ideas in SME Contexts,JOURNAL OF SMALL BUSINESS MANAGEMENT,,,,,,,,,,,,"Present theories highlight the varied roles played by weak and strong ties in idea generation, and development, respectively, but the mechanisms through which ties operate to influence the creative process remain uncertain. Investigating this issue across a range of SMEs, this paper demonstrates that strong ties influence idea development through three mechanisms; endorsement and validation, developing cognizance, and encouraging constructive dissent. These mechanisms positively impact idea development by creating organizational spaces that are primed to critically receive ideas, energize knowledge sharing by better transacting resources across network connections, and drive divergent thinking by disordering, but not fracturing, social spaces.",,,,,,,,,,,,,,,,,0047-2778,1540-627X,,,,OCT,2019,57,4,,,,,1464,1484,,10.1111/jsbm.12372,,,,,,,WOS:000486078200013,,,,,
J,"Gomez-Solorzano, M; Tortoriello, M; Soda, G",,,,"Gomez-Solorzano, Manuel; Tortoriello, Marco; Soda, Giuseppe",,,Instrumental and affective ties within the laboratory: The impact of informal cliques on innovative productivity,STRATEGIC MANAGEMENT JOURNAL,,,,,,,,,,,,"Research Summary In this paper, we contribute to research on networks and innovation by distinguishing between instrumental and affective ties and assessing their impact on individual innovativeness. In particular, using original data from the corporate R&D laboratory of a global pharmaceutical company, we evaluate how a specific structural arrangement (i.e., belonging to a clique) affects inventors' innovative productivity. Our results show that both instrumental/knowledge-sharing cliques and affective/friendship cliques correlate positively with inventors' innovative productivity. However, we also observe that when inventors straddle knowledge-sharing and friendship cliques, their innovative productivity declines. Managerial Summary Firms competing in knowledge-intensive industries rely on the productivity of their inventors to develop innovations. Within these firms, inventors' innovative productivity is influenced by the people they interact with and by the benefits and costs associated with maintaining these relationships. We find that inventors' innovative productivity is enhanced by having strong and embedded relationships with their colleagues, regardless of these relationships being based on knowledge-sharing ties or friendship ties. However, when inventors are caught in between strong knowledge-sharing ties and strong friendship ties, their innovative productivity suffers, ultimately hampering the firm's innovative capabilities.",,,,,,,,,,,,,,,,,0143-2095,1097-0266,,,,OCT,2019,40,10,,,,,1593,1609,,10.1002/smj.3045,,,,,,,WOS:000484536400004,,,,,
J,"Hadj, TB; Ghodbane, A",,,,"Hadj, Tarek Bel; Ghodbane, Adel",,,WHAT MATTERS MOST FOR INNOVATION CAPABILITY OF SMES: STRUCTURAL OR COGNITIVE FEATURES OF NETWORKING?,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,,,,,,,,,,,,"Our paper aims to analyse the effects of the networking of the entrepreneur on the innovation capability of Small and Medium Enterprises (SMEs). For this purpose, we examine the mediation of the knowledge management in our business model in the relationship between structural and cognitive features of networking and innovation capability. Our results show, in the specific case of 124 entrepreneurs in North African SMEs, that the networking is concretised by innovation capability in the presence of a partial mediation of the knowledge management for cognitive features, and a full mediation for structural features. The originality of research lies in the formulation of networking-based entrepreneurship model in which the reinforcement of innovation capability of SME is conditioned by knowledge management, which is facilitated by structural and cognitive features of networking.",,,,,,,,,,,,,,,,,1363-9196,1757-5877,,,,OCT,2019,23,7,,,,,,,UNSP 1950063,10.1142/S1363919619500634,,,,,,,WOS:000482577600003,,,,,
J,"Levin, DZ; Walter, J",,,,"Levin, Daniel Z.; Walter, Jorge",,,Before They Were Ties: Predicting the Value of Brand-New Connections,JOURNAL OF MANAGEMENT,,,,,,,,,,,,"Complementing and extending prior studies on the value of existing work relationships, this study examines whether we can predict the value of brand-new ties before people ever meet. We examine this question by developing three sets of hypotheses reflecting the three main perspectives in the social networks literature: the resource (actor), dyadic (tie), and structural (network) perspective. To test our hypotheses, we asked executives to reach out for advice from someone they had never met and to complete a survey of their various thoughts about the other person both before and after making a connection. We find support for all three perspectives after a connection has been made; however, before tie formation, we find evidence only for the structural perspective. Our results suggest that the lack of reliable information about strangers obscures which brand-new ties will turn out to be more valuable but that surrounding network structures remain a reliable predictor of value, even for brand-new ties.",,,,,,,,,,,,,,,,,0149-2063,1557-1211,,,,SEP,2019,45,7,,,,,2861,2890,,10.1177/0149206318769994,,,,,,,WOS:000481488500009,,,,,
J,"Ganguly, A; Talukdar, A; Chatterjee, D",,,,"Ganguly, Anirban; Talukdar, Asim; Chatterjee, Debdeep",,,"Evaluating the role of social capital, tacit knowledge sharing, knowledge quality and reciprocity in determining innovation capability of an organization",JOURNAL OF KNOWLEDGE MANAGEMENT,,,,,,,,,,,,"Purpose Knowledge sharing has become an integral part of organizations' business strategies, along with aiding organizations to grow and innovate in the market, and gain competitive advantage. This paper aims to concentrate on the role of tacit knowledge sharing in fostering innovation capability of an organization. Specifically, the study considers social capital (relational, cognitive and structural) as an important precursors to tacit knowledge sharing, which in turn, influences innovation capability of an organization. The study further discusses the role that knowledge reciprocation plays in successful tacit knowledge sharing. The relation between knowledge quality and innovation capability is also discussed in the paper. Design/methodology/approach The investigation started with a review of extant literature in the field of knowledge sharing and innovation to derive a set of constructs. A set of hypotheses was developed based on the identified constructs, which was subsequently validated through a primary survey based on a structured questionnaire on a sample size of 190 respondents from the Indian industrial domain. The survey responses were subsequently analysed using the statistical technique of structural equation modeling and conclusions were drawn from the findings. Additionally, careful attention was paid in eliminating the common method bias, which is often associated with a primary survey. Findings A set of six hypotheses were derived based on the identified constructs and were subsequently validated. While validating the hypotheses, it was observed that while knowledge reciprocity, relational social capital and cognitive social capital was positive associated with tacit knowledge sharing, structural social capital did not have a significant effect on the same. Additionally, it was also observed that both tacit knowledge sharing and the quality of knowledge were positively associated with innovation capability. Originality/value Although there is a growing body of literature concerning the role of knowledge management in innovation, there still a dearth in discussing the role of tacit knowledge sharing in exploiting the innovation capability of an organization. The main discussion of this paper brings together a set of important constructs that exhibits the significant role that tacit knowledge sharing plays in determining the innovation capability of an organization. Furthermore, it tries to marry the concepts of social capital and tacit knowledge sharing with innovation capability, therefore adding significantly to the body of literature in knowledge management as well as innovation.",,,,,,,,,,,,,,,,,1367-3270,1758-7484,,,,12-Aug,2019,23,6,,,,,1105,1135,,10.1108/JKM-03-2018-0190,,,,,,,WOS:000480804500004,,,,,
J,"Anand, A; Walsh, I; Moffett, S",,,,"Anand, Amitabh; Walsh, Isabelle; Moffett, Sandra",,,Does humility facilitate knowledge sharing? Investigating the role of humble knowledge inquiry and response,JOURNAL OF KNOWLEDGE MANAGEMENT,,,,,,,,,,,,"Purpose Despite the strong focus on virtues in firms, humility is little recognized in the management literature and, more particularly in the literature about knowledge sharing (KS). Despite efforts to foster KS among employees in firms, the effectiveness of this process narrows down to the dyadic relationship between the knowledge seeker and provider within firm. This paper aims to investigate the role of humility in the KS process in dyadic activity. Design/methodology/approach The authors undertake an exploratory investigation to fill some of the gaps found in the literature. The paper draws insights from psychology, history, religion, current events and management literature. Findings The authors identify several individual propensities that help predict humility towards sharing knowledge from seeker (humble knowledge-inquiry) and provider perspectives (humble response). They propose a new conceptual process model of KS with humility as an important variable to consider. This work highlights several promising directions for future research. Originality/value As per the authors' knowledge, this is the first paper that investigates the role of humility in knowledge sharing from dyadic perspective. The authors also introduce concepts of humble knowledge inquiry and humble response in a dyadic context for effective knowledge sharing process.",,,,,,,,,,,,,,,,,1367-3270,1758-7484,,,,12-Aug,2019,23,6,,,,,1218,1244,,10.1108/JKM-06-2018-0353,,,,,,,WOS:000480804500009,,,,,
J,"Parker, A; Tippmann, E; Kratochvi, R",,,,"Parker, Andrew; Tippmann, Esther; Kratochvi, Renate",,,Accessing diverse knowledge for problem solving in the MNC: A network mobilization perspective,GLOBAL STRATEGY JOURNAL,,,,,,,,,,,,"Research Summary: The fundamental challenge of problem solving is synthesizing diverse knowledge for solution development. This article addresses the trade-off between knowledge diversity, that is, approaching the most relevant individual to maximize the likelihood that he/she possesses diverse knowledge and the ability to access, that is, recognize and assimilate this knowledge. We examine this trade-off in relation to managers in subsidiaries of multinational corporations (MNCs) and two types of diverse knowledge-novel knowledge and specialist expertise. We use a network mobilization perspective and arguments on network range within and across organizational boundaries, testing our hypotheses on a dataset of 838 ties from 120 managers leading problem-solving projects. Our study offers implications for the knowledge-based view of the MNC as well as the problem-solving perspective in strategy. Managerial Summary: We examine where managers in subsidiaries of multinational corporations (MNCs) access diverse knowledge to solve nonroutine problems. This is underpinned by a trade-off. To increase chances that the other person holds diverse knowledge, they may reach far in terms of approaching an individual in a different work context; but such far reach diminishes their ability to integrate this knowledge. We resolve this trade-off. We find that approaching individuals from an MNC unit in another country location but from the same function increases the likelihood of accessing novel knowledge; whereas accessing specialist expertise is more likely achieved by approaching an MNC colleague from another function located in another country and someone working for an external organization. Overall, we provide insights for problem solvers in organizations.",,,,,,,,,,,,,,,,,2042-5791,2042-5805,,,,AUG,2019,9,3,,,,,423,452,,10.1002/gsj.1311,,,,,,,WOS:000480291700004,,,,,
J,"Miller, SR; Mors, ML; McDonald, M",,,,"Miller, Stewart R.; Mors, Marie Louise; McDonald, Michael",,,Expectations for Help Within and Across the Formal Boundaries of Executives' Professional Advice Networks,MANAGEMENT INTERNATIONAL REVIEW,,,,,,,,,,,,"We develop a theoretical framework for executives' expectations for receiving help from professional contacts in their advice networks across national (local/nonlocal) and organizational (inside/outside) boundaries. Moreover, we examine the effects of relational duration and trust in the relationships. In a study using unique data on 1807 professional relationships in a US-headquartered multinational consulting firm, we find that executives expect less help from outside contacts. This result is partially mediated by trust. Also, relational duration mitigates expectations for help from outsiders. Surprisingly, we find no evidence that executives expect less help from nonlocal contacts. Yet a test of nonlocal professional contacts reveals that geographic distance rather than cultural distance, affects the expectations for help. Another supplemental analysis shows that the type of help provided in the network influences the effects of organizational and national boundaries.",,,,,,,,,,,,,,,,,0938-8249,1861-8901,,,,AUG,2019,59,4,,,,,617,642,,10.1007/s11575-019-00390-x,,,,,,,WOS:000477991800006,,,,,
J,"Ouakouak, ML; Ouedraogo, N",,,,"Ouakouak, Mohammed Laid; Ouedraogo, Noufou",,,Fostering knowledge sharing and knowledge utilization The impact of organizational commitment and trust,BUSINESS PROCESS MANAGEMENT JOURNAL,,,,,,,,,,,,"Purpose The purpose of this paper is to explore the influence of organizational commitment and trust on knowledge sharing and on knowledge utilization. Also, the study aims to examine the influence of knowledge sharing on knowledge utilization. Design/methodology/approach A quantitative study was conducted among 307 employees working at Canadian organizations. Findings The results reveal that both affective commitment and professional trust have positive influences on knowledge sharing and knowledge utilization, whereas personal trust and continuance commitment do not. The authors also found that business ethics moderates the relationship between knowledge sharing and knowledge utilization. Originality/value The current study offers an initial investigation of the effects of both kinds of commitment and trust on knowledge sharing and knowledge utilization.",,,,,,,,,,,,,,,,,1463-7154,1758-4116,,,,3-Jul,2019,25,4,,,,,757,779,,10.1108/BPMJ-05-2017-0107,,,,,,,WOS:000479201200009,,,,,
J,"Landqvist, M; Lind, F",,,,"Landqvist, Maria; Lind, Frida",,,A start-up embedding in three business network settings - A matter of resource combining,INDUSTRIAL MARKETING MANAGEMENT,,,,,,,,,,,,"This paper focuses on how newly established technology-based start-up companies become part of the business landscape. In more detail, the aim of the paper is to analyse how a start-up becomes embedded through its networking behaviours in a business network. To approach this phenomenon, the theoretical frame of reference is based on the industrial network approach to industrial markets separating developing, producing and using settings. The business network settings are combined with networking behaviours consisting of both strong and weak ties. Importantly, for a start-up to become embedded through networking, resources of the start-up need to be combined with resources in the three business network settings. The paper relies on a case study methodology focusing on a start-up, founded at a technical university in Sweden, and its networking behaviours. The paper concludes that networking behaviours relying on strong ties are crucial to resource combining. However, the analysis also shows the importance of networking behaviours of weak ties, acquiring information and interaction to sensing new opportunities. The paper ends with managerial implications for start-up managers, pinpointing the need to work with both strong and weak ties as a platform to eventually become embedded in business networks.",,,,,,,,,,,,,,,,,0019-8501,1873-2062,,,,JUL,2019,80,,,,,,160,171,,10.1016/j.indmarman.2017.12.005,,,,,,,WOS:000480512000015,,,,,
