PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Zhou, M",,,,"Zhou, Min",,,Gender Differences in the Provision of Job-Search Help,GENDER & SOCIETY,,,,,,,,,,,,"The existing literature has well studied the use of social contacts in job search, including gender inequality, in using social contacts. What is missing is the perspective of social contacts who help others find jobs. Using a large data set from the 2012 China Labor-Force Dynamics Survey, this study reveals significant gender differences in the provision of job-search help. Compared with women, men are more likely to provide job-search help and especially show a greater likelihood of exerting direct influence on the hiring process. While women are gender neutral in their choice of help recipients, men display a selective preference for helping other men. This men's advantage of providing job-search help, especially influence-based help, and men's selective preference for helping other men, imply another prominent gender inequality in informal hiring in the labor market. This study suggests several theoretical propositions to explain the revealed gender differences in both ""whether to help"" and ""whom to help,"" providing a starting point for further research.",,,,,,,,,,,,,,,,,0891-2432,1552-3977,,,,OCT,2019,33,5,,,,,746,771,,10.1177/0891243219854436,,,,,,,WOS:000482964900004,,,,,
J,"Greenberg, J",,,,"Greenberg, Jason",,,What's Alter Got to Do with It? A Consideration of Network Content and the Social Ties That Provide It,SOCIOLOGICAL THEORY,,,,,,,,,,,,"The strength of weak ties is among the most important theories in the social sciences. One paradoxical element of the theory has been widely understood and valued-that weak ties connect disparate regions of social structure. Less appreciated, however, is the arguably more paradoxical implication that someone only weakly connected to another would provide value beyond that which is provided by the recipient's (ego's) strong ties. Once this paradoxical feature of the theory and associated empirical literatures is acknowledged, the interests of the resource provider (alter) demand consideration. To do so faithfully requires first, the concession that different types of content can be transmitted across ties (e.g., financial, informational, physical, social) and content varies in important ways that relate to alter's interests and concerns. This article considers social network content and the strength of ties that provide different forms of it. The case of startups is used as a fruitful strategic research site because of the varied resources required at various stages of the startup process. Novel insights are proposed concerning what content flows across different types of social relationships in the context of ""nascent"" entrepreneurship. Examples from other contexts such as job search are also discussed to exemplify scope. Importantly, this article takes the perspective of the resource provider, alter, and considers her concerns about trust, misuse, and unauthorized transfer in dyadic exchange. In the process, a second paradoxical feature of the theory is identified and theorized, which usefully reveals the boundaries of exchange.",,,,,,,,,,,,,,,,,0735-2751,1467-9558,,,,SEP,2019,37,3,,,,,293,314,,10.1177/0735275119869344,,,,,,,WOS:000483598000005,,,,,
J,"Sawai, S; Bose, CE",,,,"Sawai, Shiho; Bose, Christine E.",,,Transnational-Migrant Domestic Workers' Cultural Activism Online: The Case of an Indonesian Islamic-Writing Group in Hong Kong,INTERNATIONAL JOURNAL OF JAPANESE SOCIOLOGY,,,,,,,,,,,,"This study aims to illustrate the nuanced efficacy of Islamic-writing activism by Indonesian domestic workers in Hong Kong, who vigorously utilize online spheres. We regard this group as a part of transnational migrant domestic workers' cultural activism, which is currently flourishing in the region. In particular, we pay a special attention to this group's intersectional themes in Islam and writing, to ask how an intersectional activist group utilizes online terrains and multiple themes, to nurture affective ties with others and simultaneously build activist networks. By combining questionnaires, socio-metric surveys, interviews and web content analysis, we argue that the participation in this activism allows the members collective and personal empowerment online. From the data analyses, we uncover three key features of the members' Facebook usage: maintaining weak ties by balancing multiple group memberships, using tools for interactive self-identification, and being driven by networking. Additionally, the members re-contextualized their gender and class identities in positive ways, using Islam and writing. We argue that the members utilized Islam chiefly as moral yardstick and image-making, while writing as a multitasking tool and an alternative class marker for them.Through these acts of re-contextualization, the members recreate their alternative self-identifications incorporating class, religion, gender and nationality seamlessly. These features partly resonate with their offline behaviors, to assist and synthesize their attempt at self-actualization in-between their cultural spaces, by integrating the host society, native society, and the activist society.",,,,,,,,,,,,,,,,,0918-7545,1475-6781,,,,,,,,,,,,,,,10.1111/ijjs.12106,,Aug-19,,,,,WOS:000483929600001,,,,,
J,"Xiong, AL; Sun, XH; Li, HY; Westlund, H",,,,"Xiong, Ailun; Sun, Xianhua; Li, Hongyi; Westlund, Hans",,,Determinants of Social Networks in Rural China: Does Transportation Have a Role to Play?,SOCIAL SCIENCE QUARTERLY,,,,,,,,,,,,"Objectives In recent years, the origins and sources of social networks and social capital have been extensively studied. Previous studies have primarily focused on social demographic factors. To enrich our understanding of the determinants of social networks, this article explores the role of mobility in rural China. Methods Drawing upon a data set from the Chinese General Social Survey, this article first uses clustered effect logit models and then adopts a propensity score matching (PSM) model for a robustness check. Results The results demonstrate that citizens who have access to more advanced transportation modes and spend less time on traveling are more likely to establish weak ties, especially with nonagricultural citizens in prestigious job positions. The results also indicate that strong family ties are not the consequence of mobility. By disaggregating the full sample, this article further reveals that the young, rich, and female citizens reap more benefit from mobility. Conclusions Given the great importance of automobiles for strengthening social networks, this article suggests that car sharing/pooling/lifting programs might be a viable solution to social network deficits in rural areas.",,,,,,,,,,,,,,,,,0038-4941,1540-6237,,,,AUG,2019,100,5,,,,,1709,1725,,10.1111/ssqu.12647,,,,,,,WOS:000476569200015,,,,,
J,"Fong, K",,,,"Fong, Kelley",,,Subject to Evaluation: How Parents Assess and Mobilize Information from Social Networks in School Choice,SOCIOLOGICAL FORUM,,,,,,,,,,,,"A rich literature examines how information spreads through social networks to influence life opportunities. However, receiving information does not guarantee its use in decision making. This article analyzes information evaluation as a fundamental component of social network mobilization. The case of school choice, where the value of information may be more uncertain, brings this evaluative dimension to the forefront. Interviews with 55 parents in Boston show how parents selecting schools assess their social network ties as information sources, privileging information from those they perceive to have affinity and authority. These evaluative criteria map onto disparate networks to engender unequal mobilization of this information. The findings illuminate mechanisms sustaining inequality in social network mobilization and reorient scholars to consider processes underlying information use alongside information diffusion to attain a more complete understanding of how network resources are mobilized in action.",,,,,,,,,,,,,,,,,0884-8971,1573-7861,,,,MAR,2019,34,1,,,,,158,180,,10.1111/socf.12483,,,,,,,WOS:000460315000008,,,,,
J,"Trieu, P; Bayer, JB; Ellison, NB; Schoenebeck, S; Falk, E",,,,"Trieu, Penny; Bayer, Joseph B.; Ellison, Nicole B.; Schoenebeck, Sarita; Falk, Emily",,,"Who likes to be reachable? Availability preferences, weak ties, and bridging social capital",INFORMATION COMMUNICATION & SOCIETY,,,,,,,,,,,,"In this paper, we investigate how individual differences in availability preferences are related to (1) self-reported quality of interaction with strong and weak ties and (2) perceptions of bridging social capital. We employed experience sampling methods and collected data over the course of two weekscombined with surveys at baseline and endpoint, from a random sample of college students (N=154). We show that individuals who prefer to be more available to others report more rewarding interactions with weak ties. Furthermore, we demonstrate how the quality of weak tie interactions mediates a positive relationship between availability preferences and bridging social capital. We conclude by discussing the relationships between availability, interaction quality, and bridging social capital. We propose availability preferences as a key construct to be considered in future research.",,,,"Bayer, Joseph/N-5342-2019","Bayer, Joseph/0000-0002-6555-4472",,,,,,,,,,,,1369-118X,1468-4462,,,,,2019,22,8,,,,,1096,1111,,10.1080/1369118X.2017.1405060,,,,,,,WOS:000471079500005,,,,,
J,"Gayen, K; Raeside, R; McQuaid, R",,,,"Gayen, Kaberi; Raeside, Robert; McQuaid, Ronald",,,"Social networks, accessed and mobilised social capital and the employment status of older workers: A case study",INTERNATIONAL JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,,,,,,,,,,,,"Purpose The purpose of this paper is to demonstrate the importance of social networks, and the social capital embedded in them, to secure employment if someone had become unemployed after the age of 50 years and to reveal the process of accessing and mobilising that social capital. Design/methodology/approach A case study of a Scottish labour market was undertaken which involved an interview-based survey of those who became unemployed in their early 50's and tried to regain employment. The interview had structured and unstructured parts which allowed both quantitative and qualitative analysis to compare those who were successful in regaining work with those who were not. The uniqueness of the paper is the use of social network components while controlling for other socio-economic and demographic variables in job search of older workers. Findings Those older people who were unemployed and, returned to employment (reemployed) had a higher proportion of contacts with higher prestige jobs, their job searching methods were mainly interpersonal and the rate of finding their last job via their social networks was higher than those who remained unemployed. Both groups mobilised social capital (MSC), but those reemployed accessed higher quality social capital. Strong ties, rather than weak ties, were found to be important in accessing and mobilising social capital for the older workers who returned to employment. Research limitations/implications This work is limited to a local labour market and is based on a small but informative sample. However, it does show that policy is required to allow older people to enhance their social networks by strengthening the social capital embedded in the networks. The results support the use of intermediaries as bridges to help compensate for older people who have weak social networks. Besides the policy implications, the paper also has two distinct research implications. First, the use of social network component to the existing literature of older workers' job search. Second, exploring the type and relational strength with network members to explain older workers' reemployment. Practical implications The paper illustrates that how accessed and MSC can be measured. Social implications As populations age, this work points to an approach to support older people to re-enter employment and to include them in society. Originality/value The paper extends social network and employment literature to fill gaps on how older people require to both access and mobilise social capital. The importance of strong ties in the reemployment of older workers contrasts with much of the literature on younger workers where the strength of weak ties so far has been regarded as essential for successful job search. Measures are forwarded to reveal the relevance of social capital. The policy value of the work is in suggesting ways to facilitate older people re-enter or remain in work and hence sustain their well-being.",,,,"McQuaid, Ronald W/K-6219-2012","McQuaid, Ronald W/0000-0002-5342-7097",,,,,,,,,,,,0144-333X,1758-6720,,,,,2019,39,6-May,,,,,356,375,,10.1108/IJSSP-07-2018-0111,,,,,,,WOS:000470923000002,,,,,
J,"Patulny, R; Ramia, G; Feng, ZQ; Peterie, M; Marston, G",,,,"Patulny, Roger; Ramia, Gaby; Feng, Zhuqin; Peterie, Michelle; Marston, Greg",,,"The strong, the weak and the meaningful: Do friends or acquaintances help us get ""any"" job, or ""meaningful"" work?",INTERNATIONAL JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,,,,,,,,,,,,"Purpose Governments increasingly promote employment through social networks (whether via formal job networks or informal personal networks). However, they rarely account for how weak-tie bridging networks and strong-tie bonding networks differentially affect employment outcomes. Given criticism that (usually weak-tie bridging-focussed) formal job networks are overly focussed on finding entry-level (i.e. any) jobs, it is imperative to understand the impact of strong and weak ties on securing work with good conditions, or of meaning to the worker. Such links are poorly understood in the present literature. The paper aims to discuss this issue. Design/methodology/approach This study uses national Australian survey data to assess whether support from close friends or distant acquaintances is associated with employment outcomes such as finding any work or meaningful work. Findings The results show that relatively distant ties (close acquaintances) and emotional support from friends are each associated with reduced chances of being an unemployed/discouraged worker. Stronger ties (close friends) are associated with better chances of a having a meaningful job. Practical implications More attention should be paid to tie strength dynamics and meaningful employment outcomes in the delivery of employment services. In particular, a role for active close-tie brokers in promoting networks should be investigated, instead of expecting/pushing the unemployed to rely on either extremely close or distant connections. Originality/value This is the first study to find a link between network type and meaningful work, which has important implications for the delivery of employment services.",,,,,"Patulny, Roger/0000-0003-4510-6987; Peterie, Michelle/0000-0002-7182-7246",,,,,,,,,,,,0144-333X,1758-6720,,,,,2019,39,6-May,,,,,376,394,,10.1108/IJSSP-11-2018-0193,,,,,,,WOS:000470923000003,,,,,
J,"Reutov, EV; Reutova, MN; Shavyrina, IV",,,,"Reutov, E., V; Reutova, M. N.; Shavyrina, I., V",,,RECIPROCITY IN MUTUAL AID NETWORKS (ON THE DATA OF A REGIONAL STUDY),SOTSIOLOGICHESKIE ISSLEDOVANIYA,,,,,,,,,,,,"The article analyzes the role of the reciprocity principle in the reproduction of social networks and the functioning of mutual assistance practices in local communities based on the results of authors' empirical studies. Reciprocity is considered a principle of interpersonal and social relations, presupposing the existence of explicit and latent mutual obligations among their participants. Empirical diagnostics was centered on parameters of family-related, friendly, neighborly, professional networks of mutual aid as intensity and regularity of functioning, the focus of resource transfers, the nature of mutuality of obligations, motivation for the exchange of resources. The exchange of resources with parents and full-grown children is characterized by the highest degree of intensity. Most participants in such exchanges do not expect an equivalent volume of response services, and these interactions themselves have the character of generalized reciprocity. As we move toward ""weak"" ties (neighbors, colleagues, acquaintances), the attitude of balanced reciprocity dominates: receiving assistance, 50 to 57% of respondents expect an equivalent return. In the motivation of mutual aid, the attitude to a balanced reciprocity is most clearly expressed in professional and neighboring networks. In relations with friends, it is balanced by emotional-value and existential motives, which are dominant in family-related relationships. The normative significance of the principle of reciprocity and its system-forming character in various types of mutual aid networks is substantiated, and it has been proved that reciprocity in family ties has, first of all, an emotional-psychological and value background, in other networks of mutual aid the balanced nature of resource exchanges is a condition for their stable functioning.",,,,,,,,,,,,,,,,,0132-1625,,,,,,2019,,3,,,,,106,117,,10.31857/S013216250004283-4,,,,,,,WOS:000466458400011,,,,,
J,"Lubbers, MJ; Molina, JL; Valenzuela-Garcia, H",,,,"Lubbers, Miranda J.; Luis Molina, Jose; Valenzuela-Garcia, Hugo",,,When networks speak volumes: Variation in the size of broader acquaintanceship networks,SOCIAL NETWORKS,,,,,,,,,,,,"Personal network researchers have extensively studied the characteristics and effects of individuals' closest relationships, but they have paid much less attention to broader acquaintanceship networks, despite evidence that weak ties can also provide social support. In this paper we focus on one aspect of these networks: acquaintanceship volume. We estimate its distributional parameters for a large, representative sample of the general population of Spain, explore its variation across social groups as well as its implications for social support availability. We designed a survey instrument based on the Network Scale-Up Method and implemented it in a national survey in Spain. Our results suggest that Spaniards have approximately 536 acquaintances, with a large inter-individual variation, comparable to the estimates reported for the American population. Acquaintanceship volume varies with gender, age, education, and income. These differences are partially related to the unequal participation of social groups in voluntary associations, confirming the civic value of such associations, and in employment. Even with similar core network size, acquaintanceship volume increases the likelihood of having adequate social support available, suggesting that broader acquaintanceship networks also structure individual outcomes.",,,,"Molina, Jose Luis/A-7463-2008; Valenzuela Garcia, Hugo/H-9705-2015","Molina, Jose Luis/0000-0002-2932-2690; Valenzuela Garcia, Hugo/0000-0002-6195-9149",,,,,,,,,,,,0378-8733,1879-2111,,,,JAN,2019,56,,,,,,55,69,,10.1016/j.socnet.2018.08.004,,,,,,,WOS:000454966400006,,,,,
